"Cell iname"	"Cell lineage"	"Primary disease"	"Collection"	"Cell type"	"Growth medium"	"Growth pattern"	"Doubling time"	"Provider name"	"Provider catalog ID"	"Donor disease age of onset"	"Donor tumor phase"	"Donor age of death"	"Subtype"	"Donor age"	"Donor ethnicity"	"Metastatic site"	"Comments"	"Cell histology"	"CCLE name"	"Alias"	"Donor sex"	"Cellosaurus ID"	"Cellosaurus Doubling time sd"	"Cellosaurus Doubling time"	"ploidy"
"JURLMK1"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"48.00"	"DSMZ"	"-666"	-666	"-666"	-666	"chronic myelogenous leukemia (cml)"	"-666"	"-666"	"-666"	NA	"-666"	"JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"-666"	"M"	"CVCL_2086"	0	48	1.90413925
"JVM2"	"haematopoietic_and_lymphoid_tissue"	"lymphoma"	"CCLE"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"50-70"	"DSMZ"	"-666"	-666	"-666"	-666	"chronic lymphoblastic leukemia (cll)"	"-666"	"Caucasian"	"-666"	NA	"lymphoid_neoplasm"	"JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"JVM2"	"F"	"CVCL_1319"	8.48528137423857	54	2.010371169
"JVM3"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"30.00"	"DSMZ"	"ACC 18"	-666	"-666"	-666	"chronic lymphoblastic leukemia (cll)"	"73"	"-666"	"-666"	NA	"-666"	"JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"JVM3"	"M"	"CVCL_1320"	NA	30	3.992141663
"J82"	"urinary_tract"	"bladder cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"MEM (Invitrogen catalogue #12571-63)"	"adherent"	"48.00"	"ATCC"	"HTB-1"	-666	"primary"	-666	"carcinoma"	"58"	"Caucasian"	"-666"	NA	"-666"	"J82_URINARY_TRACT"	"J 82, J-82, J82 COT, J82COT"	"M"	"CVCL_0359"	NA	NA	3.631170504
"KALS1"	"central_nervous_system"	"brain cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"adherent"	"108.00"	"HSRRB"	"-666"	-666	"primary"	-666	"glioblastoma"	"-666"	"-666"	"-666"	NA	"glioma"	"KALS1_CENTRAL_NERVOUS_SYSTEM"	"KALS1"	"F"	"CVCL_1323"	36.7695526217005	64	3.055100554
"KARPAS299"	"haematopoietic_and_lymphoid_tissue"	"lymphoma"	"ACHILLES, CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"RPMI 1640 + 2mM Glutamine + 20% Foetal Bovine Serum (FBS). For slower growth use 10% or 5% FBS"	"suspension"	"26.00"	"DSMZ"	"-666"	-666	"-666"	-666	"t-cell lymphoma"	"-666"	"-666"	"-666"	NA	"-666"	"KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"K299, Karpas 299, KARPAS 299, KARPAS-299, Karpas299, KARPAS299"	"M"	"CVCL_1324"	2.82842712474619	28	1.899098452
"KARPAS422"	"haematopoietic_and_lymphoid_tissue"	"lymphoma"	"ACHILLES, CCLE"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"60-90"	"DSMZ"	"-666"	-666	"-666"	-666	"b-cell lymphoma"	"-666"	"unknown"	"-666"	NA	"-666"	"KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"K422, Karpas 422, KARPAS 422, KARPAS-422, Karpas422, KARPAS422"	"F"	"CVCL_1325"	NA	75	2.080480651
"KARPAS620"	"haematopoietic_and_lymphoid_tissue"	"myeloma"	"CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"60.00"	"DSMZ"	"-666"	-666	"primary"	-666	"myeloma"	"77"	"unknown"	"-666"	NA	"-666"	"KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"K620, Karpas 620, KARPAS 620, KARPAS-620, Karpas620"	"F"	"CVCL_1823"	NA	NA	2.893898687
"KASUMI1"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE"	"-666"	"ATCC-formulated RPMI-1640 Medium, Catalog No. 30-2001"	"suspension"	"48-72"	"ATCC"	"CRL-2724"	-666	"-666"	-666	"acute myeloid leukemia (aml)"	"7"	"Japanese"	"-666"	NA	"-666"	"KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"Kasumi 1, KASUMI-1, Kasumi1, KASUMI1"	"M"	"CVCL_0589"	9.31284954601258	47.75	1.928838491
"KASUMI2"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"mix"	"30.00"	"DSMZ"	"ACC 526"	-666	"-666"	-666	"acute lymphoblastic leukemia (all)"	"15"	"-666"	"-666"	NA	"lymphoid_neoplasm"	"KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"KASUMI-2, Kasumi2, KASUMI2"	"M"	"CVCL_0590"	NA	30	NA
