gene,gene_symbol,contrast_id,t_statistic,p_value,fdr,resolution_rank,retained_for_gsea,model_id
GRCh38-DZIP3,DZIP3,primary_adjacent_state,1.7455604267227667,0.08226329679348039,0.17673922802971517,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-E130307A14Rik,E130307A14Rik,primary_adjacent_state,2.5618384099195666,0.011070611817219408,0.04345016080575651,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-E230029C05Rik,E230029C05Rik,primary_adjacent_state,3.1188026443476167,0.002055013511241624,0.01443702601256099,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-E230032D23Rik,E230032D23Rik,primary_adjacent_state,2.1821446542423337,0.030142381043242697,0.086391630614673,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-E2F1,E2F1,primary_adjacent_state,-4.350556093897498,2.1092410708423292e-5,0.0014842693491703613,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-E2F2,E2F2,primary_adjacent_state,-2.247936065238762,0.02558747206572469,0.07703944067092332,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-E2f3,E2f3,primary_adjacent_state,0.6990383658404298,0.48525577277170606,0.6260680492529457,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-E2F3,E2F3,primary_adjacent_state,-2.1978783503465285,0.028985616918483864,0.08420269310128468,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-E2F3-IT1,E2F3-IT1,primary_adjacent_state,1.791719159685036,0.07453245401109407,0.16483557531260923,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-E2f4,E2f4,primary_adjacent_state,2.6335389307752757,0.009040943209125395,0.03779190049058024,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-E2F4,E2F4,primary_adjacent_state,-1.4180498423137655,0.15757071398573552,0.2832531661318567,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-E2F5,E2F5,primary_adjacent_state,1.1285872001077653,0.2603305224126404,0.4032606378457707,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-E2F5-DT,E2F5-DT,primary_adjacent_state,2.9339367946441968,0.0036962470781130336,0.021255745496062402,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-E2F6,E2F6,primary_adjacent_state,-0.5705025021072442,0.5689107477389106,0.6977962954242906,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-E2F7,E2F7,primary_adjacent_state,-2.481314159469355,0.013827922571712557,0.05059650558820417,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-E2F8,E2F8,primary_adjacent_state,-2.7616871500192346,0.006259158103660062,0.029642602042583316,1,TRUE,ETP_reference_balanced_threshold_2_24
