gene,gene_symbol,contrast_id,fitted_log_expr_difference,average_expression,t_statistic,p_value,fdr,B,model_id
GRCm39-Kat5,Kat5,primary_adjacent_state,0.4662229862695518,0.18828161843160685,2.6437632394243025,0.008780540705857758,0.0371919165286202,-2.8083413462303892,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000289581,ENSG00000289581,primary_adjacent_state,0.4459381602186001,0.041955059291029786,2.6437283906030755,0.008781416690093061,0.0371919165286202,-2.7992563630183414,ETP_reference_balanced_threshold_2_24
GRCh38-WNT4,WNT4,primary_adjacent_state,0.515764578702579,1.4141969468246252,2.644086922580444,0.008781674779543162,0.0371919165286202,-2.89768255777942,ETP_reference_balanced_threshold_2_24
GRCm39-Acot13,Acot13,primary_adjacent_state,0.4312880919925304,0.09104402569331338,2.643655741808694,0.008783243093531658,0.03719311226224343,-2.808961784271934,ETP_reference_balanced_threshold_2_24
GRCm39-Lypla1,Lypla1,primary_adjacent_state,0.4529456792384942,0.44959094964585583,2.6430509471003427,0.008798461006093354,0.03725209913895945,-2.8241247955285247,ETP_reference_balanced_threshold_2_24
GRCm39-Upf3a,Upf3a,primary_adjacent_state,0.4714333743120871,0.3526169519645334,2.6428832772742923,0.00880268412987824,0.037260822890375835,-2.822428789395514,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000227741,ENSG00000227741,primary_adjacent_state,0.4295341203960385,0.010716249955102905,2.642793276070478,0.008804951754931109,0.037260822890375835,-2.8028682244413203,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000275437,ENSG00000275437,primary_adjacent_state,0.44060850984173305,0.06874500097024414,2.6426862499136607,0.008807649016029399,0.037260822890375835,-2.8072591533788342,ETP_reference_balanced_threshold_2_24
GRCh38-UCHL5,UCHL5,primary_adjacent_state,-0.15572971136235653,6.630127494830751,-2.6426685672459835,0.008808094724149841,0.037260822890375835,-3.486565041115199,ETP_reference_balanced_threshold_2_24
GRCm39-Dhdds,Dhdds,primary_adjacent_state,0.44746754867698013,0.21489161769281637,2.642654076455405,0.008808459993157259,0.037260822890375835,-2.8167159345526365,ETP_reference_balanced_threshold_2_24
GRCh38-TEKT1,TEKT1,primary_adjacent_state,0.504363477634447,0.4458346266544492,2.642623835463749,0.008809222320987319,0.037260822890375835,-2.8274794707091733,ETP_reference_balanced_threshold_2_24
GRCh38-SLF1,SLF1,primary_adjacent_state,-0.22737878370846587,5.103075460379811,-2.6426112463453277,0.008809539690353018,0.037260822890375835,-3.3116723079862593,ETP_reference_balanced_threshold_2_24
GRCh38-MECOM-AS1,MECOM-AS1,primary_adjacent_state,0.4254907802370121,0.025213376443508538,2.6423648746741013,0.008815752745327268,0.03728164949559223,-2.8022255344616562,ETP_reference_balanced_threshold_2_24
GRCh38-CACNA1F,CACNA1F,primary_adjacent_state,0.4231552430319012,0.22060226942820704,2.642232016921663,0.008819104816771268,0.037290372735476404,-2.8165789484405215,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000285999,ENSG00000285999,primary_adjacent_state,0.3876347353007143,2.721897105065287,2.6420955249190556,0.008822549776075118,0.0372994861312154,-3.027835324954035,ETP_reference_balanced_threshold_2_24
GRCh38-KLB,KLB,primary_adjacent_state,0.4896468589580375,0.09849448591632831,2.6419214256575745,0.008826945671816926,0.03731166319563825,-2.8073991499061606,ETP_reference_balanced_threshold_2_24
GRCm39-Tex2,Tex2,primary_adjacent_state,0.41864565812912,0.09207595897724667,2.6418726799414007,0.008828176823124964,0.03731166319563825,-2.814171233047102,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000225407,ENSG00000225407,primary_adjacent_state,0.4928748387863289,1.2313913576875193,2.6418282032795015,0.008829300287357312,0.03731166319563825,-2.881156440162148,ETP_reference_balanced_threshold_2_24
GRCm39-Dut,Dut,primary_adjacent_state,0.4384765028976912,0.10784175325835553,2.6417344682892083,0.008831668420045635,0.03731621826801459,-2.8131426171688143,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000249171,ENSG00000249171,primary_adjacent_state,0.49001416501935474,-0.023292080334310166,2.64152047978127,0.008837076793666009,0.03733361598399187,-2.8066907245089383,ETP_reference_balanced_threshold_2_24
GRCm39-Oip5os1,Oip5os1,primary_adjacent_state,0.4631154382279419,0.6185640263617931,2.6413046931659148,0.008842533629085539,0.03735121332268321,-2.844109868338164,ETP_reference_balanced_threshold_2_24
GRCm39-Snai1,Snai1,primary_adjacent_state,0.46409223495783397,0.13511766462670785,2.6411867306603107,0.008845517958723282,0.03735443837038956,-2.8114588365132094,ETP_reference_balanced_threshold_2_24
GRCh38-PCDHB11,PCDHB11,primary_adjacent_state,0.43555514080539287,0.05216096008543238,2.6411724129611707,0.008845880243371764,0.03735443837038956,-2.810351703673295,ETP_reference_balanced_threshold_2_24
GRCh38-TMEM14B-DT,TMEM14B-DT,primary_adjacent_state,0.4293549630522741,0.020002306900613182,2.641055249891303,0.008848845353935786,0.03735656246318561,-2.805689843342825,ETP_reference_balanced_threshold_2_24
GRCh38-SERPINA1,SERPINA1,primary_adjacent_state,0.48309329123230677,5.205709831605161,2.643396610074996,0.008849515026083988,0.03735656246318561,-3.34663050722686,ETP_reference_balanced_threshold_2_24
GRCh38-LARS1,LARS1,primary_adjacent_state,-0.1428108897982854,7.010280188223435,-2.6409931384458925,0.008850417605117962,0.03735656246318561,-3.5350836023414125,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000288917,ENSG00000288917,primary_adjacent_state,0.44570742113851725,0.1333432783007293,2.6409484185072656,0.008851549773881853,0.03735656246318561,-2.811898517056415,ETP_reference_balanced_threshold_2_24
GRCh38-LINC02568,LINC02568,primary_adjacent_state,0.4872859207443972,0.17220539203807833,2.6407954183523477,0.008855424243735269,0.03736351982677682,-2.815413279661384,ETP_reference_balanced_threshold_2_24
GRCh38-FAM161A,FAM161A,primary_adjacent_state,-0.37016824858895403,3.788505816134187,-2.6408708035285633,0.00885665005368067,0.03736351982677682,-3.1366618733907248,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000260581,ENSG00000260581,primary_adjacent_state,0.5075897966497712,0.3030550683161403,2.640730292017201,0.008857073920627269,0.03736351982677682,-2.824368286060878,ETP_reference_balanced_threshold_2_24
GRCh38-YEATS4,YEATS4,primary_adjacent_state,-0.21387934215146787,5.611014391049724,-2.6405044887866045,0.00886279574999816,0.03737677263736195,-3.364153899179322,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000259269,ENSG00000259269,primary_adjacent_state,0.44665339192929404,-0.075477593961638,2.640487740643889,0.008863220278513884,0.03737677263736195,-2.801407016102357,ETP_reference_balanced_threshold_2_24
GRCh38-MRPS28,MRPS28,primary_adjacent_state,-0.19381074476403212,5.905108369284815,-2.640404428766545,0.00886533232279313,0.03737677263736195,-3.4057925676477314,ETP_reference_balanced_threshold_2_24
GRCm39-Tom1l2,Tom1l2,primary_adjacent_state,0.4448259127310814,0.2302525433125942,2.640402357464232,0.008865384838265091,0.03737677263736195,-2.817481774050209,ETP_reference_balanced_threshold_2_24
GRCh38-PLAAT4,PLAAT4,primary_adjacent_state,0.4142709667207501,3.261451854144295,2.640996417903929,0.008868490612368938,0.03737857944579158,-3.1031019553613564,ETP_reference_balanced_threshold_2_24
GRCm39-Chchd10,Chchd10,primary_adjacent_state,0.4194648123949167,0.5713939682684799,2.6402318662366677,0.008869708405281335,0.03737857944579158,-2.846142377134489,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000285881,ENSG00000285881,primary_adjacent_state,0.4465069582859506,0.13741826570334456,2.6401861704626013,0.008870867548032076,0.03737857944579158,-2.8124932172200503,ETP_reference_balanced_threshold_2_24
GRCh38-DPY19L3-DT,DPY19L3-DT,primary_adjacent_state,0.4224135996565375,1.2592609243647717,2.6401593978461877,0.008871546739418899,0.03737857944579158,-2.8930548715067985,ETP_reference_balanced_threshold_2_24
GRCm39-Prmt1,Prmt1,primary_adjacent_state,0.43406615165534085,0.735879667712272,2.6401041586865532,0.00887294824301126,0.03737857944579158,-2.8439350711936053,ETP_reference_balanced_threshold_2_24
GRCh38-CDK2AP1,CDK2AP1,primary_adjacent_state,-0.16794310962645584,6.4178599787912685,-2.640058180498384,0.008874114933151619,0.03737857944579158,-3.4675621080383494,ETP_reference_balanced_threshold_2_24
GRCh38-HNRNPAB,HNRNPAB,primary_adjacent_state,-0.14097969065628424,8.913710887964589,-2.640028815308969,0.008874860142944844,0.03737857944579158,-3.762255826288702,ETP_reference_balanced_threshold_2_24
GRCm39-Lipa,Lipa,primary_adjacent_state,0.448971894002959,0.5679804624416654,2.639904394915351,0.008878018223428551,0.03738643608881779,-2.8418801744289026,ETP_reference_balanced_threshold_2_24
GRCm39-Prkag1,Prkag1,primary_adjacent_state,0.4432414659771657,1.0107511984771165,2.6398175018238037,0.008880224372554174,0.037390282326832405,-2.865794506540617,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000287903,ENSG00000287903,primary_adjacent_state,0.44875712335516726,0.07158761645353919,2.6397548202208236,0.008881816116577164,0.03739154086224814,-2.817580035656653,ETP_reference_balanced_threshold_2_24
GRCh38-H2AC16,H2AC16,primary_adjacent_state,0.4944724562238789,0.016270054230921146,2.639657307941724,0.008884292864945686,0.037396524267204065,-2.8051152515816824,ETP_reference_balanced_threshold_2_24
GRCm39-Coa3,Coa3,primary_adjacent_state,0.4580993753033589,0.5720651866125895,2.6395941840773087,0.008885896501122809,0.03739783157821215,-2.8464861037505176,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000291233,ENSG00000291233,primary_adjacent_state,0.4756943124025546,0.7781654446117325,2.6394164279697208,0.0088904137216024,0.03740782534709366,-2.856544350861223,ETP_reference_balanced_threshold_2_24
GRCh38-LINC01275,LINC01275,primary_adjacent_state,0.4579399789997598,0.5691275671072183,2.639398954610699,0.008890857874141546,0.03740782534709366,-2.835093623810766,ETP_reference_balanced_threshold_2_24
GRCh38-HTT-AS,HTT-AS,primary_adjacent_state,0.5336119208809683,0.6469796414705374,2.639306025255191,0.008893220365944962,0.03741232282528876,-2.844623685797561,ETP_reference_balanced_threshold_2_24
GRCh38-PRSS48,PRSS48,primary_adjacent_state,0.45427043151574154,0.31850397003573044,2.6391701275940505,0.0088966762336916,0.037416779626808075,-2.823571460429432,ETP_reference_balanced_threshold_2_24
GRCh38-GJD3-AS1,GJD3-AS1,primary_adjacent_state,0.4240489949047099,0.14487389160535544,2.6391626190121733,0.00889686721158838,0.037416779626808075,-2.8173340326408596,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000289544,ENSG00000289544,primary_adjacent_state,0.4488884296492767,0.21430935822463837,2.639005020328358,0.008900876524397654,0.037426126454620186,-2.819287039037545,ETP_reference_balanced_threshold_2_24
GRCm39-Fam234b,Fam234b,primary_adjacent_state,0.44641503741086186,0.29817721866286884,2.6389735332882296,0.008901677749855896,0.037426126454620186,-2.830898866433724,ETP_reference_balanced_threshold_2_24
GRCm39-Prdm1,Prdm1,primary_adjacent_state,0.42827208960001717,0.40956196101061887,2.6387580610590566,0.008907162439551874,0.03744374303440687,-2.848796181393236,ETP_reference_balanced_threshold_2_24
GRCh38-ATXN1-AS1,ATXN1-AS1,primary_adjacent_state,0.4727928085877676,1.6317078887289185,2.6386899629363185,0.008908896459826206,0.037445589799606674,-2.914010966249949,ETP_reference_balanced_threshold_2_24
GRCh38-SLC2A5,SLC2A5,primary_adjacent_state,0.4578890992360971,0.24758614894351452,2.6385762569193627,0.008911792495790008,0.03745231946574232,-2.8205609327985797,ETP_reference_balanced_threshold_2_24
GRCh38-PICART1,PICART1,primary_adjacent_state,0.46343395450178687,1.2064608268556438,2.6383096319819637,0.008918586620956372,0.037475426739982595,-2.8830508693385557,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000287210,ENSG00000287210,primary_adjacent_state,0.441643039188177,0.23572720791245938,2.638203070343264,0.008921303322484203,0.03748139667241257,-2.8226725358375537,ETP_reference_balanced_threshold_2_24
GRCh38-FBXO24,FBXO24,primary_adjacent_state,0.45417129150890084,0.19640315644076142,2.6379338219237356,0.008928170905554606,0.037504801587574486,-2.817422825018768,ETP_reference_balanced_threshold_2_24
GRCm39-Ppm1b,Ppm1b,primary_adjacent_state,0.45291573965139276,0.40760937546107595,2.6378797398725955,0.008929550922200812,0.037505151288395565,-2.840385810502047,ETP_reference_balanced_threshold_2_24
GRCh38-MSRB1,MSRB1,primary_adjacent_state,-0.27359777312808586,3.8202053146389754,-2.6377533249862855,0.00893277741056653,0.037513255157311624,-3.143659299839025,ETP_reference_balanced_threshold_2_24
GRCh38-KIF6,KIF6,primary_adjacent_state,0.5061135713358604,0.21236631617364354,2.6376724872949615,0.008934841181179551,0.037516474541532376,-2.8270565889001102,ETP_reference_balanced_threshold_2_24
GRCm39-Poldip2,Poldip2,primary_adjacent_state,0.4152291412935666,0.15056516771808928,2.637460064316531,0.008940266342288875,0.03753380507354897,-2.823919444653733,ETP_reference_balanced_threshold_2_24
