direction	metric	cancer_type	category_label	pvalue
high_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Metabolic/redox agents	0.396666666666667
high_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Proapoptotic agents	0.0433333333333333
high_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	WNT/HH pathway inhibitors	0.356666666666667
high_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Chemotherapy agents	0.953333333333333
high_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Chaperone/protein-homeostasis inhibitors	0.816666666666667
high_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	p53/MDM2 pathway	0.216666666666667
high_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Hormone therapy	0.986666666666667
high_ploidy_sensitive	Z_SCORE	KIRC	Kinase inhibitors	0.21
high_ploidy_sensitive	Z_SCORE	KIRC	Epigenetic inhibitors	0.68
high_ploidy_sensitive	Z_SCORE	KIRC	Other	1
high_ploidy_sensitive	Z_SCORE	KIRC	DNA damage repair inhibitors	0.53
high_ploidy_sensitive	Z_SCORE	KIRC	Metabolic/redox agents	0.566666666666667
high_ploidy_sensitive	Z_SCORE	KIRC	Proapoptotic agents	0.0733333333333333
