Cell iname	Cell lineage	Primary disease	Collection	Cell type	Growth medium	Growth pattern	Doubling time	Provider name	Provider catalog ID	Donor disease age of onset	Donor tumor phase	Donor age of death	Subtype	Donor age	Donor ethnicity	Metastatic site	Comments	Cell histology	CCLE name	Alias	Donor sex	Cellosaurus ID	Cellosaurus Doubling time sd	Cellosaurus Doubling time
SF763	central_nervous_system	brain cancer		-666	-666	-666	29.00	-666	-666	-666	-666	-666	glioma	-666	-666	-666	NA	-666	-666	SF 763, SF-763	F	CVCL_6949	NA	NA
SF767	central_nervous_system	endometrial cancer	ACHILLES, CCLE	-666	-666	-666	-666.00	-666	-666	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	SF767_CENTRAL_NERVOUS_SYSTEM	SF 767, SF-767	F	CVCL_6950	NA	29
SF8657	skin	normal skin sample		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	normal skin sample	-666	-666	-666	NA	-666	-666	SF A-14, SFA14	M	CVCL_K085	NA	NA
SGBS	soft_tissue	normal soft tissue sample		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	normal soft tissue sample	-666	-666	-666	NA	-666	-666	Simpson Golabi Behmel Syndrome cell strain	M	CVCL_GS28	NA	NA
SHEP	central_nervous_system	neuroblastoma		-666	-666	adherent	-666.00	-666	-666	-666	-666	-666	neuroblastoma	-666	-666	-666	NA	-666	-666	SHEP	F	CVCL_0524	NA	NA
SHI1	haematopoietic_and_lymphoid_tissue	leukemia		-666	80% Iscove's MDM + 20% h.i. FBS	suspension	36.00	DSMZ	-666	-666	recurrent	-666	acute myelogenous leukemia (aml)	-666	-666	-666	NA	-666	-666	-666	M	CVCL_2191	20.5060966544099	50.5
SHP77	lung	lung cancer	CCLE, PRISM-PR300, PRISM-SUSP	-666	RPMI-164	mix	85.00	ATCC	CRL-2195	-666	primary	-666	small cell lung carcinoma	54	Caucasian	-666	NA	-666	SHP77_LUNG	Shadyside Hospital Pittsburgh-77, SHP77	M	CVCL_1693	7.77817459305202	90.5
SHSY5Y	autonomic_ganglia	neuroblastoma	CCLE	-666	1:1 mixture of ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003, and F12 Medium. To make the complete growth medium, add the following components to the base medium: fetal bovine serum to a final concentration of 10%.	mix	55.00	-666	CRL-2266	-666	metastatic	-666	neuroblastoma	-666	-666	bone_marrow	NA	-666	SHSY5Y_AUTONOMIC_GANGLIA	SH-Sy5y, SHSY-5Y, SHSY5Y, SK-SH-SY5Y, SY5Y	F	CVCL_0019	NA	NA
SH10TC	stomach	gastric cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	RPMI-164 (Hyclone Cat.# SH327.2)	adherent	120.00	RIKEN	-666	-666	primary	-666	carcinoma	-666	-666	-666	NA	carcinoma	SH10TC_STOMACH	SH-10, SH10TC	-666	CVCL_5167	NA	NA
SH2	haematopoietic_and_lymphoid_tissue	leukemia		-666	ATCC Hybri-Care Medium, Catalog No. 46-X. Hybri-Care Medium is supplied as a powder and should be reconstituted in 1 L cell-culture-grade water.	suspension	80.00	DSMZ	-666	-666	-666	-666	acute myelogenous leukemia (aml)	-666	Asian	-666	NA	-666	-666	-666	-666	CVCL_2190	NA	80
SH4	skin	skin cancer	CCLE, PRISM-HURON, PRISM-PR500	-666	DMEM	adherent	60.00	ATCC	CRL-7724	-666	metastatic	-666	melanoma	60	Caucasian	pleural_effusion	NA	malignant_melanoma	SH4_SKIN	SH4	F	CVCL_1692	NA	1.1
SIGM5	haematopoietic_and_lymphoid_tissue	leukemia	CCLE	-666	IMDM ATCC catalog #3-25	suspension	72.00	DSMZ	-666	-666	-666	-666	acute myelogenous leukemia, aml	-666	unknown	-666	NA	-666	SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SigM5, SIGM5	M	CVCL_1694	NA	72
SIHA	cervix	cervical cancer, endometrial cancer	ACHILLES	-666	ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003. To make the complete growth medium, add the following components to the base medium: fetal bovine serum to a final concentration of 10%.	adherent	34.00	ATCC	HTB-35	-666	-666	-666	cervical carcinoma	55	asian	-666	NA	-666	-666	Siha, SIHA	F	CVCL_0032	NA	62.4
SIMA	autonomic_ganglia	brain cancer	ACHILLES, PRISM-HURON, PRISM-PR300, PRISM-PR500	-666	RPMI-164 ATCC catalog # 3-21	adherent	34-100	DSMZ	-666	-666	-666	-666	neuroblastoma	-666	Caucasian	-666	NA	neuroblastoma	SIMA_AUTONOMIC_GANGLIA	SIMA	M	CVCL_1695	4.94974746830583	70.5
SISO	cervix	cervical cancer		-666	-666	-666	24.00	DSMZ	-666	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	-666	SISO	F	CVCL_2193	7.77817459305202	29.5
SJCRH30	soft_tissue	soft tissue cancer		-666	ATCC-formulated RPMI-1640 Medium, ATCC 30-2001. To make the complete growth medium, add the following components to the base medium: fetal bovine serum (ATCC 30-2020) to a final concentration of 10%.	adherent	37.00	-666	-666	-666	metastatic	-666	rhabdomyosarcoma	17	Caucasian	-666	NA	-666	-666	-666	M	CVCL_0041	1.15470053837925	35
SJRH30	soft_tissue	soft tissue cancer	CCLE	-666	-666	adherent	37.00	ATCC	CRL-2061	-666	metastatic	-666	rhabdomyosarcoma	17	-666	bone_marrow	NA	-666	-666	-666	-666	CVCL_0041	1.15470053837925	35
SJSA1	bone	bone cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR300, PRISM-PR500	-666	RPMI-164 ATCC catalog # 3-21	adherent	36.00	ATCC	CRL-2098	-666	primary	-666	osteosarcoma	19	Black	-666	NA	osteosarcoma	SJSA1_BONE	OsA, OSA, OsA-CL, OSA-CL, OsACL, OSACL, SJSA, SJSA1	M	CVCL_1697	NA	31
SKBR3	breast	breast cancer	ACHILLES, CCLE	-666	McCoy's 5A ATCC catalog # 3-27	adherent	>120	ATCC	HTB-30	-666	metastatic	-666	adenocarcinoma	43	Caucasian	pleural_effusion	NA	carcinoma	SKBR3_BREAST	Sk-Br-3, SK-Br-3, SK-BR3, SKBr-3, SKBR-3, SkBr3, SKBr3, SKBR3	F	CVCL_0033	NA	60
SKCO1	large_intestine	colon cancer	CCLE, CMAP, PRISM-HURON	-666	EMEM ATCC catalog # 3-23	adherent	48.00	ATCC	HTB-39	-666	metastatic	-666	adenocarcinoma	65	Caucasian	ascites	NA	carcinoma	SKCO1_LARGE_INTESTINE	SK Col 1, SK-Col-1, SKCO-1, SKCO1, SKCol1	M	CVCL_0626	NA	46
SKES1	bone	bone cancer	CCLE, CMAP, PRISM-HURON, PRISM-PR300, PRISM-PR500	-666	McCoy's 5A ATCC catalog # 3-27	adherent	60.00	ATCC	HTB-86	-666	primary	-666	ewing's sarcoma	18	Caucasian	-666	NA	Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor	SKES1_BONE	SK-ES, Sk-Es-1, Sk-ES-1, SK-ES1, SKES-1, SKES1	M	CVCL_0627	NA	35
SKGI	endometrium	endometrial cancer		-666	-666	-666	35-42	JCRB	IFO50308	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	-666	SKG-1, SKG1	F	CVCL_2793	NA	38.5
SKGII	endometrium	endometrial cancer		-666	-666	-666	-666.00	JCRB	IFO50309	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	-666	SKG-2, SKG2	F	CVCL_2794	NA	NA
SKGIIIA	endometrium	endometrial cancer		-666	-666	-666	-666.00	JCRB	-666	-666	-666	-666	carcinoma	-666	Japanese	-666	NA	-666	-666	SKG IIIa, SKG-3a, SKG-IIIA, SKG3a, SKG3A	F	CVCL_1704	NA	NA
SKGIIIB	endometrium	endometrial cancer		-666	-666	-666	-666.00	JCRB	IFO50311	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	-666	SKG-3b, SKG3b, SKG3B	F	CVCL_2795	NA	NA
SKHEP1	liver	liver cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	EMEM ATCC catalog # 3-23	adherent	48.00	ATCC	HTB-52	-666	primary	-666	adenocarcinoma	52	Caucasian	ascites	NA	carcinoma	SKHEP1_LIVER	SK Hep1, SK_HEP1, SK-Hep-1, Sk-Hep1, SK-Hep1, SKHEP-1, SKHep1, SKHEP1	M	CVCL_0525	NA	30
SKL	soft_tissue	normal soft tissue sample		-666	-666	-666	-666.00	LONZA	CC-2561	-666	-666	-666	normal soft tissue sample	-666	-666	-666	NA	-666	-666	-666	-666	-666	NA	NA
SKLMS1	soft_tissue	soft tissue cancer	CCLE	-666	EMEM ATCC catalog # 3-23	adherent	-666.00	ATCC	HTB-88	-666	primary	-666	leiomyosarcoma	43	Caucasian	-666	NA	sarcoma	SKLMS1_SOFT_TISSUE	SKLMS-1, SKLMS1	F	CVCL_0628	NA	NA
SKLU1	lung	lung cancer	CCLE, PRISM-HURON, PRISM-PR500	-666	MEM (Invitrogen catalogue #12571-63)	adherent	48.00	ATCC	HTB-57	-666	-666	-666	adenocarcinoma	60	Caucasian	-666	NA	carcinoma	SKLU1_LUNG	SK LU 1, SK-Lu-1, SKLU-1, SKLU1	F	CVCL_0629	NA	NA
SKMEL1	skin	skin cancer		-666	EMEM ATCC catalog # 3-23	suspension	35.10	ATCC	HTB-67	-666	metastatic	-666	melanoma	29	Caucasian	lymphatic tissue, thoracic_duct	NA	-666	SKMEL1_SKIN	SK 1, SK Mel 1, SK-Mel 1, SK-Mel-1, SK-Mel1, SkMEL-1, SKMEL-1, SKMEL1	M	CVCL_0068	NA	100
SKMEL13	skin	skin cancer	CCLE	-666	-666	-666	-666.00	-666	-666	-666	-666	-666	melanoma	-666	-666	-666	NA	-666	-666	AH-Mel, Mel13, SK-Mel-13, SKMEL-13, SKMEL13	M	CVCL_6022	NA	NA
SKMEL2	skin	skin cancer	CCLE, PRISM-HURON, PRISM-PR500	-666	EMEM ATCC catalog # 3-23	adherent	108.00	ATCC	HTB-68	-666	metastatic	-666	melanoma	60	Caucasian	skin	NA	malignant_melanoma, melanoma	SKMEL2_SKIN	SK Mel 2, SK MEL 2, SK-mel-2, SK-Mel-2, SK-ML2, SK.MEL.2, SKMEL-2, SKmel2, SKMEL2, SKml2	M	CVCL_0069	7.42462120245875	50.75
SKMEL24	skin	skin cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	EMEM ATCC catalog # 3-23	adherent	96.00	ATCC	HTB-71	-666	metastatic	-666	melanoma	67	Caucasian	lymph node	NA	malignant_melanoma	SKMEL24_SKIN	AQ-Mel, SK Mel 24, Sk-Mel-24, SK-Mel24, SKMEL-24, SKMel24, SKMEL24	M	CVCL_0599	NA	NA
SKMEL28	skin	skin cancer	CCLE, PRISM-PR300	-666	EMEM ATCC catalog # 3-23	adherent	>120	ATCC	HTB-72	-666	-666	-666	melanoma	51	unknown	-666	NA	malignant_melanoma, melanoma	SKMEL28_SKIN	AU-Mel, P-36, P36, SK Mel 28, SK MEL 28, SK-MEL 28, SK-Mel-28, SK-Mel28, SK-MEL28, SK.MEL.28, SKMel-28, SKMEL-28, SKmel28, SKMel28, SKMEL28, SKML-28	M	CVCL_0526	24.0238076360375	35.1
SKMEL3	skin	skin cancer	CCLE, PRISM-HURON, PRISM-PR500	-666	McCoy's 5A Invitrogen catalog # 166-82	adherent	108.00	ATCC	HTB-69	-666	metastatic	-666	melanoma	42	Caucasian	lymph_node	NA	malignant_melanoma	SKMEL3_SKIN	Sk-mel-3, SK-Mel-3, SK-Mel3, SKMEL3	F	CVCL_0550	NA	45
SKMEL30	skin	skin, skin cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	RPMI-164 Invitrogen catalog # 11875-93	adherent	72.00	DSMZ	-666	-666	primary	-666	melanoma	67	Caucasian	-666	NA	malignant_melanoma	SKMEL30_SKIN	AW-Mel, SK Mel 30, Sk Mel30, SK-Mel-30, SKMEL-30	M	CVCL_0039	NA	30
SKMEL31	skin	skin cancer	CCLE	-666	EMEM ATCC catalog # 3-23	adherent	-666.00	ATCC	HTB-73	-666	-666	-666	melanoma	-666	unknown	-666	NA	malignant_melanoma	SKMEL31_SKIN	AX-Mel, Sk-Mel-31, SKMel-31, SKMEL-31, SkMel31, SKMEL31	F	CVCL_0600	NA	NA
SKMEL5	skin	skin cancer	CCLE, CMAP, PRISM-HURON, PRISM-PR500	-666	RPMI-164 Invitrogen catalog # 11875-93	adherent	108.00	ATCC	HTB-70	-666	primary	-666	melanoma	24	Caucasian	-666	NA	malignant_melanoma, melanoma	SKMEL5_SKIN	AA-Mel, SK MEL 5, SK-Mel-5, SK-MEL5, SK.MEL.5, SKMel-5, SKMEL-5, SKmel5, SKMel5, SKMEL5	F	CVCL_0527	31.6783837971573	47.6
SKMES	lung	lung cancer		-666	ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003	adherent	50.00	ECACC	93120837	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_0630	NA	50
SKMES1	lung	lung cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	DMEM (Hyclone Cat.# SH322.2)	adherent	72.00	ATCC	HTB-58	-666	metastatic	-666	non small cell lung cancer	65	Caucasian	effusion, pleural, pleural_effusion	NA	carcinoma	SKMES1_LUNG	CVCL_8913, SK MES 1, SK-MES, SK-Mes-1, SKMES, SKMES-1, SKMES1	M	CVCL_0630	NA	50
SKMG1	central_nervous_system	brain cancer		-666	-666	-666	-666.00	JCRB	-666	-666	-666	-666	astrocytoma	-666	-666	-666	NA	-666	-666	AJ, SKMG1	F	CVCL_1698	NA	NA
SKMM1	haematopoietic_and_lymphoid_tissue	myeloma		-666	80-90% RPMI 1640 + 10-20% h.i. FBS	suspension	32.00	-666	-666	-666	-666	-666	myeloma	-666	-666	-666	NA	-666	-666	SK-MM1, SK-My-1, SK-MY-1, SKMM-1, SKMM1	M	CVCL_A478	11.3137084989848	40
SKMM2	haematopoietic_and_lymphoid_tissue	myeloma	CCLE, PRISM-PR300, PRISM-SUSP	-666	RPMI-164 ATCC catalog # 3-21	suspension	100.00	DSMZ	-666	-666	-666	-666	myeloma	-666	unknown	-666	NA	-666	SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SK-MM2, SKMM-2, SKMM2	M	CVCL_1699	20.2072594216369	85
SKM1	haematopoietic_and_lymphoid_tissue	leukemia	CCLE, PRISM-PR300, PRISM-SUSP	-666	RPMI-164 ATCC catalog # 3-21	suspension	48.00	HSRRB	-666	-666	-666	-666	acute myeloid leukemia (aml)	-666	Japanese	-666	NA	-666	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKM1	M	CVCL_0098	0	48
SKN	endometrium	endometrial cancer		-666	Ham's F12 medium 90% with 10% fetal bovine serum.	-666	-666.00	JCRB	IFO50314	-666	-666	-666	leiomyosarcoma	-666	Asian	-666	NA	-666	-666	-666	F	CVCL_3167	NA	36
SKNAS	autonomic_ganglia, central_nervous_system	brain cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR300, PRISM-PR500	-666	DMEM ATCC catalog # 3-22	adherent	72.00	ATCC	CRL-2137	-666	metastatic	-666	neuroblastoma	6	Caucasian	bone_marrow	NA	neuroblastoma	SKNAS_AUTONOMIC_GANGLIA	SKN-AS, SKNAS	F	CVCL_1700	NA	NA
SKNBE2	autonomic_ganglia	neuroblastoma	ACHILLES, CCLE, PRISM-HURON, PRISM-PR300, PRISM-PR500	-666	EMEM:HamsF-12(1:1)	mix	48.00	ATCC	CRL-2271	-666	metastatic	-666	neuroblastoma	2	-666	bone_marrow	NA	neuroblastoma	SKNBE2_AUTONOMIC_GANGLIA	SK-N-BE, SK-N-BE2, SKNBE, SKNBE-2, SKNBE(2), SKNBE2	M	CVCL_0528	6.36396103067893	31.5
SKNDZ	autonomic_ganglia, central_nervous_system	brain cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR300	-666	DMEM (Hyclone Cat.# SH322.2)	adherent	48.00	ATCC	CRL-2149	-666	metastatic	-666	neuroblastoma	2	Caucasian	bone_marrow	NA	neuroblastoma	SKNDZ_AUTONOMIC_GANGLIA	SKNDZ	F	CVCL_1701	NA	NA
SKNEP1	bone	bone cancer	PRISM-HURON, PRISM-PR300, PRISM-PR500	-666	ATCC-formulated McCoy's 5a Medium Modified , Catalog No. 30-2007	suspension	-666.00	ATCC	HTB-48	-666	metastatic	-666	ewing's sarcoma	25	Caucasian	pleural_effusion	NA	-666	SKNEP1_BONE	SKNEP, SKNEP-1, SKNEP1	F	CVCL_0631	NA	NA
SKNFI	autonomic_ganglia, central_nervous_system	brain cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR300	-666	DMEM ATCC catalog # 3-22	adherent	48.00	ATCC	CRL-2142	-666	metastatic	-666	neuroblastoma	11	Caucasian	bone_marrow	NA	neuroblastoma	SKNFI_AUTONOMIC_GANGLIA	SK_N_FI, SK-N-F1, SKNF1, SKNFI	M	CVCL_1702	NA	NA
SKNF1	central_nervous_system	brain cancer		-666	ATCC-formulated Dulbecco's Modified Eagle's Medium, Catalog No. 30-2002	adherent	-666.00	ICLC	HTL97020	-666	metastatic	-666	neuroblastoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_1702	NA	NA
SKNMC	bone	neuroepithelioma	ACHILLES, CCLE, PRISM-PR300	-666	EMEM ATCC catalog # 3-23	adherent	>120	ATCC	HTB-10	-666	metastatic	-666	neuroepithelioma	14	Caucasian	supraorbital_area	NA	Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor	SKNMC_BONE	SK-NM-C, SK-NMC, SKNMC	F	CVCL_0530	11.3137084989848	40
SKNO1	haematopoietic_and_lymphoid_tissue	leukemia	PRISM-PR300, PRISM-SUSP	-666	90% RPMI 1640 + 10% h.i. FBS + 10 ng/ml GM-CSF	-666	48-72	JCRB	JCRB1170	-666	recurrent	-666	acute myeloblastic leukemia (aml)	22	-666	-666	NA	-666	-666	Skno-1, SKNO1	M	CVCL_2196	18.0023146659904	42.5
SKNSH	central_nervous_system	neuroblastoma	CCLE, PRISM-HURON, PRISM-PR300	-666	EMEM ATCC catalog # 3-23	adherent	48.00	ATCC	HTB-11	-666	metastatic	-666	neuroblastoma	4	unknown	bone_marrow	NA	neuroblastoma	SKNSH_AUTONOMIC_GANGLIA	NSH, SK N SH, SK-NSH, SKN-SH, SKNSH	F	CVCL_0531	NA	44
SKN3	upper_aerodigestive_tract	head and neck cancer		-666	RPMI1640 medium with 10% fetal bovine serum	-666	40.00	JCRB	JCRB1039	-666	-666	-666	squamous carcinoma	-666	-666	-666	NA	-666	-666	SKN3	-666	CVCL_3168	NA	40
SKOV3	ovary	ovarian cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	McCoy's 5A ATCC catalog # 3-27	adherent	48.00	ATCC	HTB-77	-666	metastatic	-666	adenocarcinoma	64	Caucasian	ascites	NA	carcinoma	SKOV3_OVARY	SK.OV.3, SKO3, SKOV-3, Skov3, SKOV3	F	CVCL_0532	25.1823549335641	31.9
SKO007	haematopoietic_and_lymphoid_tissue	myeloma		-666	RPMI 1640 medium with 0.02 mg/ml 6-thioguanine, 1 mM sodium pyruvate and 2 mM L-glutamine, 85%; fetal bovine serum, 15%	suspension	-666.00	ATCC	CRL-8033-1	-666	-666	-666	myeloma	-666	-666	-666	NA	-666	-666	SKO007, U-226AR1, U-266 AR1	M	CVCL_4974	NA	NA
SKPNDW	bone	bone cancer	PRISM-HURON, PRISM-PR300	-666	ATCC-formulated Dulbecco's Modified Eagle's Medium, Catalog No. 30-2002	adherent	-666.00	ATCC	CRL-2139	-666	-666	-666	ewing's sarcoma	17	Caucasian	-666	NA	-666	SKPNDW_BONE	-666	M	CVCL_1703	NA	NA
SKRC20	kidney	kidney cancer	CCLE	-666	-666	-666	-666.00	-666	-666	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	SKRC20_KIDNEY	SKRC-20, SKRC20	-666	CVCL_V605	NA	55
SKRC31	kidney	kidney cancer	CCLE	-666	-666	-666	-666.00	-666	-666	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	SKRC31_KIDNEY	SKRC-31, SKRC31	-666	CVCL_6186	NA	120
SKUT1	soft_tissue	endometrial cancer	CCLE, PRISM-HURON, PRISM-PR500	-666	EMEM ATCC catalog # 3-23	adherent	48.00	ATCC	HTB-114	-666	primary	-666	leiomyosarcoma	75	Caucasian	-666	NA	leiomyosarcoma	SKUT1_SOFT_TISSUE	SK UT 1, SKUT-1, Skut1, SKUT1	F	CVCL_0533	NA	NA
SKW3	haematopoietic_and_lymphoid_tissue	leukemia		-666	90% RPMI 1640 + 10% h.i. FBS	suspension	30-40	DSMZ	-666	-666	-666	-666	leukemia	-666	-666	-666	NA	-666	-666	SKW3	M	CVCL_2197	3.53553390593274	32.5
SK23	skin	skin cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	melanoma	-666	unknown	-666	NA	-666	-666	-666	unknown	CVCL_6027	NA	NA
SLR20	kidney	kidney cancer	ACHILLES, CCLE	-666	-666	-666	24.00	-666	-666	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	SLR20_KIDNEY	SLR20	-666	CVCL_V606	NA	24
SLR21	kidney	kidney cancer	CCLE	-666	-666	-666	60.00	-666	-666	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	SLR21_KIDNEY	SLR21	-666	CVCL_V607	NA	60
SLR23	kidney	kidney cancer	ACHILLES, CCLE	-666	-666	-666	40.00	-666	-666	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	SLR23_KIDNEY	SLR23	-666	CVCL_V609	NA	40
SLR26	kidney	kidney cancer	ACHILLES, CCLE	-666	-666	-666	55.00	-666	-666	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	SLR26_KIDNEY	SLR26	-666	CVCL_V612	NA	55
SLVL	haematopoietic_and_lymphoid_tissue	lymphoma		-666	RPMI1640 medium with 10% fetal calf serum	-666	-666.00	JCRB	JCRB0159	-666	-666	-666	b-cell lymphoma	70	-666	-666	NA	-666	-666	-666	-666	CVCL_3169	33.2340187157677	51.5
SMSCTR	soft_tissue	soft tissue cancer	ACHILLES, PRISM-PR300	-666	-666	-666	-666.00	-666	-666	-666	-666	-666	rhabdomyosarcoma	-666	-666	-666	NA	-666	-666	-666	-666	-666	NA	NA
SMZ1	haematopoietic_and_lymphoid_tissue	lymphoma	ACHILLES	-666	-666	-666	-666.00	-666	-666	-666	-666	-666	lymphoma	-666	-666	-666	NA	-666	SMZ1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-666	-666	-666	NA	NA
SNB19	central_nervous_system	brain cancer	CCLE	-666	90% Dulbecco's MEM + 10% h.i. FBS	adherent	24.00	DSMZ	ACC 325	-666	-666	-666	glioblastoma	47	-666	-666	NA	glioma	SNB19_CENTRAL_NERVOUS_SYSTEM	SNB.19, SNB19	M	CVCL_0535	7.4953318805774	29.3
SNB75	central_nervous_system	brain cancer	PRISM-HURON, PRISM-PR500	-666	-666	adherent	48.00	-666	-666	-666	primary	-666	glioma	-666	-666	-666	NA	glioma	SNB75_CENTRAL_NERVOUS_SYSTEM	SNB.75, SNB75	F	CVCL_1706	42.9920922961421	32.4
SNGII	endometrium	endometrial cancer		-666	Ham's F12 medium with 10% fetal bovine serum	-666	-666.00	JCRB	IFO50312	-666	-666	-666	adenocarcinoma	43	-666	-666	NA	-666	-666	SNGII	F	CVCL_3170	NA	NA
SNGM	endometrium	endometrial cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	HAMS F12 Invitrogen catalog # 11765-54	adherent	30.00	HSRRB	-666	-666	primary	-666	adenocarcinoma	-666	Japanese	-666	NA	carcinoma	SNGM_ENDOMETRIUM	SNGM	F	CVCL_1707	NA	30
SNUC1	large_intestine	colon cancer	CCLE	-666	RPMI-164 (Hyclone Cat.# SH327.2)	suspension	31.00	ATCC	CRL-5972	-666	metastatic	-666	adenocarcinoma	71	Asian	peritoneum	NA	-666	SNUC1_LARGE_INTESTINE	NCI-SNU-C1, SNUC1	M	CVCL_1708	NA	31
SNUC2A	large_intestine	colon cancer	CCLE, PRISM-HURON, PRISM-PR500	-666	DMEM:HAM's F12 1:1 ATCC catalog # 3-26	adherent	48.00	ATCC	CCL-250.1	-666	primary	-666	adenocarcinoma	43	Asian	-666	NA	carcinoma	SNUC2A_LARGE_INTESTINE	C2A, NCI-SNU-C2A, SNUC2A	F	CVCL_1709	NA	50
SNUC2B	large_intestine	colon cancer		-666	ATCC-formulated RPMI-1640 Medium, ATCC 30-2001	adherent	-666.00	ATCC	CCL-250	-666	-666	-666	adenocarcinoma	43	Asian	-666	NA	-666	-666	NCI-SNU-C2B, SNUC2B	F	CVCL_1710	NA	NA
SNUC4	large_intestine	colon cancer	CCLE, PRISM-HURON, PRISM-PR500	-666	RPMI-164 Invitrogen catalog # 11875	adherent	27.00	KCLB	-666	-666	-666	-666	adenocarcinoma	-666	-666	-666	NA	carcinoma	SNUC4_LARGE_INTESTINE	C4, NCI-SNU-C4, SNU C4, SNUC4	M	CVCL_5111	NA	NA
SNUC5	large_intestine	colon cancer	CCLE, PRISM-HURON, PRISM-PR500	-666	RPMI-164 Invitrogen catalog # 11875	adherent	67.00	KCLB	-666	-666	-666	-666	adenocarcinoma	-666	Asian	-666	NA	carcinoma	SNUC5_LARGE_INTESTINE	NCI-SNU-C5, SNU-C5/WT, SNUC5	F	CVCL_5112	NA	NA
SNU1	stomach	gastric cancer	ACHILLES, CCLE, PRISM-PR300, PRISM-SUSP	-666	ATCC-formulated RPMI-1640 Medium, ATCC 30-2001. To make the complete growth medium, add the following components to the base medium: fetal bovine serum (ATCC 30-2020) to a final concentration of 10%.	suspension	26.00	ATCC	CRL-5971	-666	metastatic	-666	carcinoma	44	Asian	-666	NA	-666	SNU1_STOMACH	NCI-SNU-1, SNU1	M	CVCL_0099	NA	26
SNU1033	large_intestine	colon cancer	CCLE	-666	RPMI-164 Invitrogen catalog # 11875	mix	42.00	KCLB	-666	-666	primary	-666	carcinoma	-666	-666	-666	NA	carcinoma	SNU1033_LARGE_INTESTINE	NCI-SNU-1033, SNU1033	F	CVCL_5002	NA	42
SNU1040	large_intestine	colon cancer	CCLE	-666	RPMI-164 Invitrogen catalog # 11875	mix	63.00	KCLB	-666	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	SNU1040_LARGE_INTESTINE	NCI-SNU-1040, SNU1040	M	CVCL_5003	NA	63
SNU1041	upper_aerodigestive_tract	head and neck cancer	CCLE, PRISM-HURON, PRISM-PR500	-666	RPMI-164 Invitrogen catalog # 11875	adherent	96.00	KCLB	-666	-666	-666	-666	carcinoma	-666	-666	-666	NA	carcinoma	SNU1041_UPPER_AERODIGESTIVE_TRACT	NCI-SNU-1041, SNU 1041, SNU1041	M	CVCL_L085	NA	NA
SNU1066	upper_aerodigestive_tract	head and neck cancer	CCLE, PRISM-HURON, PRISM-PR500	-666	RPMI-164 Invitrogen catalog # 11875	adherent	48.00	KCLB	-666	-666	-666	-666	carcinoma	-666	-666	-666	NA	carcinoma	SNU1066_UPPER_AERODIGESTIVE_TRACT	NCI-SNU-1066, SNU1066	M	CVCL_5005	NA	48
SNU1076	upper_aerodigestive_tract	head and neck cancer	CCLE, PRISM-HURON, PRISM-PR500	-666	RPMI-164 Invitrogen catalog # 11875	adherent	36.00	KCLB	-666	-666	-666	-666	carcinoma	-666	-666	-666	NA	carcinoma	SNU1076_UPPER_AERODIGESTIVE_TRACT	NCI-SNU-1076, SNU1076	M	CVCL_5006	NA	36
