fig3h_group	ploidy_class	dose_response_label	analysis_cloneid_origin	origin_resolution_status	origin_resolution_distance_edges	origin	cloneID	profile_label	profile_size	db_size	weight_used	autosomal_ploidy	marker_chromosome_count	marker_chromosome_ploidy	clone_ploidy	state	alias	parent	sampleSource	rootID
MDA	High	MDA-MB-231_G2_A3_harvesT8	MDA-MB-231_G2_A4_seed	nearest_pedigree_genome_perspective	1	MDA-MB-231_G2_A4_seed	484165	SP_0.0500088_ID484165	0.0500088	0.0500088	0.0500088	3.91278728877553	12	0.590107888962521	4.50289517773805	8	MDAMB231-G2-A4	484167	MDAMB231	484167
MDA	High	MDA-MB-231_G2_A3_harvesT8	MDA-MB-231_G2_A4_seed	nearest_pedigree_genome_perspective	1	MDA-MB-231_G2_A4_seed	484152	SP_0.049985_ID484152	0.049985	0.049985	0.049985	3.91145856063532	10	0.499890890687091	4.41134945132241	14	MDAMB231-G2-A4	484167	MDAMB231	484167
MDA	High	MDA-MB-231_G2_A3_harvesT8	MDA-MB-231_G2_A4_seed	nearest_pedigree_genome_perspective	1	MDA-MB-231_G2_A4_seed	484150	SP_0.0500139_ID484150	0.0500139	0.0500139	0.0500139	4.09605485516074	15	0.43648925955618	4.53254411471692	12	MDAMB231-G2-A4	484167	MDAMB231	484167
MDA	High	MDA-MB-231_G2_A3_harvesT8	MDA-MB-231_G2_A4_seed	nearest_pedigree_genome_perspective	1	MDA-MB-231_G2_A4_seed	484155	SP_0.0499937_ID484155	0.0499937	0.0499937	0.0499937	4.0137775645262	8	0.628924137984326	4.64270170251053	17	MDAMB231-G2-A4	484167	MDAMB231	484167
MDA	High	MDA-MB-231_G2_A3_harvesT8	MDA-MB-231_G2_A4_seed	nearest_pedigree_genome_perspective	1	MDA-MB-231_G2_A4_seed	484163	SP_0.0499891_ID484163	0.0499891	0.0499891	0.0499891	4.22841333704744	11	0.559888197880963	4.7883015349284	6	MDAMB231-G2-A4	484167	MDAMB231	484167
MDA	High	MDA-MB-231_G2_A3_harvesT8	MDA-MB-231_G2_A4_seed	nearest_pedigree_genome_perspective	1	MDA-MB-231_G2_A4_seed	484151	SP_0.050006_ID484151	0.050006	0.050006	0.050006	3.60859477310461	9	0.52507980526929	4.1336745783739	13	MDAMB231-G2-A4	484167	MDAMB231	484167
MDA	High	MDA-MB-231_G2_A3_harvesT8	MDA-MB-231_G2_A4_seed	nearest_pedigree_genome_perspective	1	MDA-MB-231_G2_A4_seed	484157	SP_0.0500059_ID484157	0.0500059	0.0500059	0.0500059	3.71079233549681	10	1.08574395982129	4.7965362953181	19	MDAMB231-G2-A4	484167	MDAMB231	484167
MDA	High	MDA-MB-231_G2_A3_harvesT8	MDA-MB-231_G2_A4_seed	nearest_pedigree_genome_perspective	1	MDA-MB-231_G2_A4_seed	484159	SP_0.0500065_ID484159	0.0500065	0.0500065	0.0500065	3.63229544026865	12	0.859249291838037	4.49154473210669	20	MDAMB231-G2-A4	484167	MDAMB231	484167
MDA	High	MDA-MB-231_G2_A3_harvesT8	MDA-MB-231_G2_A4_seed	nearest_pedigree_genome_perspective	1	MDA-MB-231_G2_A4_seed	484153	SP_0.0500081_ID484153	0.0500081	0.0500081	0.0500081	3.91842141562817	8	0.451841393210983	4.37026280883915	15	MDAMB231-G2-A4	484167	MDAMB231	484167
MDA	High	MDA-MB-231_G2_A3_harvesT8	MDA-MB-231_G2_A4_seed	nearest_pedigree_genome_perspective	1	MDA-MB-231_G2_A4_seed	484154	SP_0.0499934_ID484154	0.0499934	0.0499934	0.0499934	3.53494544526411	10	0.542119469809302	4.07706491507341	16	MDAMB231-G2-A4	484167	MDAMB231	484167
MDA	High	MDA-MB-231_G2_A3_harvesT8	MDA-MB-231_G2_A4_seed	nearest_pedigree_genome_perspective	1	MDA-MB-231_G2_A4_seed	484166	SP_0.0500058_ID484166	0.0500058	0.0500058	0.0500058	3.67281581556847	13	0.620067912018819	4.29288372758729	9	MDAMB231-G2-A4	484167	MDAMB231	484167
MDA	High	MDA-MB-231_G2_A3_harvesT8	MDA-MB-231_G2_A4_seed	nearest_pedigree_genome_perspective	1	MDA-MB-231_G2_A4_seed	484148	SP_0.0499931_ID484148	0.0499931	0.0499931	0.0499931	4.13911518688368	10	0.477296560373532	4.61641174725721	10	MDAMB231-G2-A4	484167	MDAMB231	484167
MDA	High	MDA-MB-231_G2_A3_harvesT8	MDA-MB-231_G2_A4_seed	nearest_pedigree_genome_perspective	1	MDA-MB-231_G2_A4_seed	484158	SP_0.049999_ID484158	0.049999	0.049999	0.049999	3.9705755131633	12	0.683145624022005	4.65372113718531	2	MDAMB231-G2-A4	484167	MDAMB231	484167
MDA	High	MDA-MB-231_G2_A3_harvesT8	MDA-MB-231_G2_A4_seed	nearest_pedigree_genome_perspective	1	MDA-MB-231_G2_A4_seed	484160	SP_0.0499843_ID484160	0.0499843	0.0499843	0.0499843	3.69618458514401	10	0.832818625116672	4.52900321026068	3	MDAMB231-G2-A4	484167	MDAMB231	484167
SNU	Low	SNU-668_P1_A19kT_harvest	SNU-668_P1_A18K_seed	nearest_pedigree_genome_perspective	3	SNU-668_P1_A18K_seed	483846	SP_0.0499956_ID483846	0.0499956	0.0499956	0.0499956	2.11117011717858	3	0.45759607263632	2.5687661898149	13	SNU668-P1-A18	483862	SNU-668	483862
SNU	Low	SNU-668_P1_A19kT_harvest	SNU-668_P1_A18K_seed	nearest_pedigree_genome_perspective	3	SNU-668_P1_A18K_seed	483858	SP_0.0499988_ID483858	0.0499988	0.0499988	0.0499988	2.25724455999916	2	0.272032559995579	2.52927711999474	6	SNU668-P1-A18	483862	SNU-668	483862
SNU	Low	SNU-668_P1_A19kT_harvest	SNU-668_P1_A18K_seed	nearest_pedigree_genome_perspective	3	SNU-668_P1_A18K_seed	483850	SP_0.050017_ID483850	0.050017	0.050017	0.050017	2.27581411393662	3	0.285471919428635	2.56128603336526	17	SNU668-P1-A18	483862	SNU-668	483862
