bootstrap_replicate	corrected_energy_difference_2N_minus_4N	centered_bootstrap_error
400	0.5556003716391911	0.503553705798588
401	-0.15759931735082217	-0.20964598319142516
402	-0.6433494776178204	-0.6953961434584234
403	0.27588342920562675	0.22383676336502376
404	-0.13081107787822727	-0.18285774371883026
405	0.004889918685974864	-0.04715674715462813
406	0.2822047242499458	0.2301580584093428
407	0.4901606389301953	0.4381139730895923
408	0.19198058355380662	0.13993391771320363
409	-0.17848928786411508	-0.23053595370471808
410	-0.07052661898026334	-0.12257328482086632
411	0.529814538268943	0.47776787242834
412	-0.007584017279384674	-0.05963068311998766
413	0.0607688411965171	0.00872217535591411
414	-0.19683249061565586	-0.24887915645625885
415	0.8669411456460899	0.8148944798054869
416	0.2711575682695215	0.21911090242891848
417	-0.04421059380827595	-0.09625725964887893
418	-0.4431836484233751	-0.49523031426397807
419	-0.1072897278576697	-0.15933639369827268
420	-0.15104161150095882	-0.20308827734156182
421	-0.16373583231563693	-0.21578249815623993
422	0.03493237273597513	-0.017114293104627858
423	0.5545085676245514	0.5024619017839483
424	-0.4885153635292154	-0.5405620293698183
425	-0.5897968562448377	-0.6418435220854407
426	0.02470001733986978	-0.02734664850073321
427	0.6242296885901119	0.5721830227495088
428	0.055914296047541195	0.0038676302069382065
429	0.23907665963543603	0.18702999379483304
430	-0.5249054372587448	-0.5769521030993479
431	0.013561301564144455	-0.03848536427645853
432	-0.289641918014785	-0.341688583855388
433	0.08544709088335144	0.03340042504274845
434	-0.20535875172316104	-0.257405417563764
435	-0.24517492089324303	-0.297221586733846
436	-0.18402026616165998	-0.23606693200226297
437	-0.013984276034455841	-0.06603094187505883
438	0.11949879768194827	0.06745213184134527
439	-0.12663140882431403	-0.17867807466491703
440	-0.4718997682149249	-0.5239464340555279
441	-0.17495652911942683	-0.22700319496002982
442	-0.21583632549663317	-0.26788299133723614
443	-0.19220085419304803	-0.24424752003365102
444	-0.28990670820000114	-0.3419533740406041
445	0.20020429719117544	0.14815763135057244
446	-0.3158315775769722	-0.3678782434175752
447	-0.12892995460926257	-0.18097662044986557
448	0.6074271460902436	0.5553804802496406
449	0.21815579648862735	0.16610913064802435
450	-0.1632341817314399	-0.21528084757204288
451	0.23401104991376834	0.18196438407316534
452	-0.08372177937461633	-0.13576844521521933
453	-0.4155586862635605	-0.4676053521041635
454	0.0813835840452909	0.029336918204687916
455	0.13570342564434137	0.08365675980373838
456	0.8062223722882097	0.7541757064476067
457	-0.36415261863716103	-0.416199284477764
458	-0.4697683694920601	-0.521815035332663
459	0.009990451823284379	-0.04205621401731861
460	0.4392694871714658	0.38722282133086283
461	-0.10419618869220446	-0.15624285453280745
462	0.2600323014461976	0.2079856356055946
463	0.039920799773993695	-0.012125866066609294
464	-0.2872819696734087	-0.33932863551401166
465	0.3195145168386935	0.2674678509980905
466	-0.46805683866737996	-0.5201035045079829
467	-0.3050748391256904	-0.35712150496629336
468	-0.40116598524995845	-0.4532126510905614
469	-0.36259394973957787	-0.41464061558018084
470	-1.0407150716096014	-1.0927617374502043
471	0.04810776753619042	-0.003938898304412568
472	0.002057327230538201	-0.049989338610064785
473	-0.38978880049250203	-0.441835466333105
474	-0.2165034347403861	-0.2685501005809891
475	0.024375898432222248	-0.02767076740838074
476	-0.2531463338861116	-0.30519299972671454
477	-0.004542830654368536	-0.056589496494971525
478	0.9514775408296051	0.8994308749890021
479	0.048118470485608536	-0.003928195354994453
480	-0.11440144627686034	-0.16644811211746333
481	0.32815068392289615	0.2761040180822932
482	-0.622977517517072	-0.675024183357675
483	0.41084295684263056	0.3587962910020276
484	0.14572218112064383	0.09367551528004084
485	0.06388295100825804	0.011836285167655052
486	-0.2896559829838406	-0.34170264882444357
487	0.17698065872774446	0.12493399288714147
488	-0.391839550658684	-0.44388621649928695
489	-0.06989552042355474	-0.12194218626415773
490	0.36312592099189467	0.3110792551512917
491	0.07843208638588674	0.02638542054528375
492	0.8516936714726228	0.7996470056320197
493	-0.40252937489077667	-0.45457604073137964
494	-0.3816944960963836	-0.4337411619369866
495	-0.2856249494279522	-0.33767161526855516
496	0.4656065986513917	0.41355993281078873
497	-0.09581730611585966	-0.14786397195646264
498	0.10269995305431198	0.05065328721370899
499	-0.7174351820034887	-0.7694818478440917
500	-0.08758281118511191	-0.1396294770257149
501	-0.13200762668173122	-0.1840542925223342
502	-0.23345681914354896	-0.28550348498415196
503	-0.12739185046576765	-0.17943851630637064
504	0.1360347658648169	0.08398810002421389
505	0.17284604019316807	0.12079937435256508
506	0.4304670050830131	0.37842033924241014
507	0.12741931695736658	0.07537265111676358
508	1.1618086138980386	1.1097619480574357
509	-0.02666336685204676	-0.07871003269264976
510	0.5370007113046829	0.4849540454640799
511	0.20563498875214828	0.15358832291154528
512	0.34020391597542504	0.2881572501348221
