,2N_C1,2N_C2,2N_C3,2N_C4,2N_G1,2N_G2,2N_G3,2N_G4,4N_C1,4N_C2,4N_C3,4N_C4,4N_G1,4N_G2,4N_G3,4N_G4
Adrenic acid,-1.215401890875412,-1.6438009258615516,0.5048157362305858,0.044629985822679796,0.7202758810889521,1.0555121155488405,0.4564884650134603,0.7313964235499983,0.12925558245648036,-0.6538204146201132,-1.1153761231980308,-1.7596813054285665,0.4820946195071796,0.5705154112215138,-0.2515727235100041,1.9446691630540112
6-Phosphogluconic acid,-0.315571636714237,-0.8185283171199096,-0.6471448853441343,-0.913305881112531,-0.06113096635659978,-0.29789277109640877,-0.8230407070149577,-1.0207096425230324,1.9939231869359708,1.7337084666803728,1.225156087848245,1.6351415403188647,0.02462043383572797,-0.48311709279748727,-0.7070412097124038,-0.5250666058274489
1-Methyladenosine,0.2542097089213578,0.3336244577030576,1.0517798848269813,0.9835281367063047,-0.09932305144704606,0.26918771206726005,0.20366331167248986,-0.46888071405870063,0.9599052626611106,0.871311453756305,0.9395631443170563,0.44472788009923925,-0.5821990644336799,-2.627300640456581,-1.5783115403067969,-0.9554859420283989
2-Keto-3-deoxy-6-phosphogluconic acid,0.22569235990659145,0.4799503009806018,-1.455404549022369,-1.455404549022369,0.09852389785559806,-1.455404549022369,0.40405366775259666,0.12209068266988762,1.1449156214952398,1.1932061033088304,1.2804381307901842,1.30906858688795,-1.455404549022369,0.5013532958043012,-0.8425361884054506,-0.09513826295686288
Inosine 5'-Diphosphate,-0.5027875835029686,-0.3945386248464106,-1.8339513525460633,0.04627913007230196,1.191630274127433,0.6758861659139971,1.3539774926965868,0.9159844815789057,-0.7165722149637209,-1.0469345768452654,-1.365867305073227,-1.3513150950099715,0.9442143542026449,0.548662207707081,0.7199730521085197,0.8153595943801293
"Dihydrobiopterin (7,8-Dihydro-L-Biopterin)",-0.730857696660151,-0.29961089793796636,-2.256928764166752,-0.19000191185178394,0.5814232581241944,0.490815167246299,0.061602264962142925,1.682240659626267,-0.2623870730911362,-0.567807291309393,-1.4924397937203588,-0.6279731912084964,0.5948459481146334,1.3179733655024455,1.227849272119647,0.4712566842504158
Orotate,1.0259787201389994,1.0528249954832563,1.0261303648406659,1.0475493304126802,-1.4777676739139272,-1.1341530216938516,-1.2448006336667323,-1.3597171635146807,0.9786235778509941,1.0166155254413483,0.7484752899973243,0.8306320347533944,-0.6124860064029676,-0.6042057261603546,-0.6172252462688869,-0.6764743672972617
dAMP,1.1879468525333166,1.470530719314208,0.939440861694976,1.9217672924692284,-1.4903266104475363,-1.0824657415214936,-1.2564331677790983,-0.8178619051789386,0.5708427564416819,0.2156440173493577,0.4084998229437954,0.3223802747658484,-0.3933939100631683,-0.5042874334988886,-0.5968601461622517,-0.8954236828610379
dAMP (2),0.8798545092830423,1.3100137484905492,1.3476692124121428,1.539375465838506,-1.0561458563820414,-1.8654917287989106,-1.2530543249474577,-0.8851724340896038,0.6921666397572536,0.18435731327314733,0.7460351536705763,0.41235597706748767,-0.5147328425786858,-0.5032586993451911,-0.3142603061602449,-0.7197118274905763
(S)-Dihydroorotate,1.0441658463301076,1.088910410622186,0.7660839025557773,1.06997382017293,-1.0405232081486382,-1.0621787783307801,-1.092093929804288,-1.34856142291186,1.0650308987001975,0.96209498112741,1.036135015490893,0.8175868347012033,-0.6910199153485205,-0.49848816349789343,-1.081281211348927,-1.0358350803098166
Guanidinoacetate,1.4178905981582601,1.5637723689941578,1.1100671906135144,1.5909409498845566,-0.25855942561637757,-0.33951838475872154,-0.45847391907117496,-0.34165639641618434,0.23384346282552965,0.29406864999176524,0.32716159822447044,0.11922969822425027,-1.1213919461498743,-1.204163303511764,-1.4680703863489153,-1.4651407550434754
N-Methyl-L-Glutamate,1.483185985409364,1.3002705308494449,0.9540853568821713,1.843345498512181,-0.2725538080454712,-0.23578624804144324,-0.4368337319288345,-0.4123164085464612,0.2926820490035734,-0.10995428627912954,0.7778348509022571,-0.3025830665696216,-1.2287119182553998,-0.6383014147427599,-1.3400682126943877,-1.674295176455539
Phenol sulfate,0.12958030797790931,-0.41007797464245854,-0.46618566285757673,-0.5359519685924126,-1.8460939899428357,-1.0296613963607315,-1.25602004169405,-0.7880510566140962,0.6250317459866356,-0.17347644935530443,0.4182674703462261,-0.011289893920037156,0.7870342352879948,1.8107422391338124,0.9378325235579839,1.80831991168895
Ribothymidine,0.49025311129574495,0.1064475732525899,0.20314274194794435,-0.7953961854927689,1.4906551501541239,1.6028415557857152,1.600222372798008,1.224690159799215,-0.25771543263070235,-0.6447712699603547,-1.3285441017541635,-0.6721417501962035,-0.39337090572028377,-0.9870749850347537,-1.5445699521908636,-0.09466808205329477
Guanosine 5'-monophosphate,-9.595646844465146e-05,0.9150941727546017,0.14558007541340992,1.4710478810508014,1.447556014139053,0.9688078598044194,1.2087560983459749,0.9526692212789009,-0.41944873439516656,-0.8719935473443275,-0.8919388561876749,-0.3134889908712105,-0.7966232305493177,-1.249391830617211,-0.9258557735039202,-1.6406744028498546
