Feature_ID,Metabolite,log2FC_2N_G_vs_2N_C,p_2N_G_vs_2N_C,log2FC_4N_G_vs_4N_C,p_4N_G_vs_4N_C,Differential_response_2N_minus_4N,p_interaction,Order_category,Response_category,cat_order
Coenzyme A,Coenzyme A,-0.14700522465986054,0.23502219248441328,0.2940849443153084,0.0015214813174559394,-0.44109016897516895,0.0033156407598368253,No strong response,No strong response,99
Trimethylacetic acid;Pentanoate,Trimethylacetic acid;Pentanoate,-0.011731346179601587,0.9467464460171959,-0.11936416740977407,0.4356962332360259,0.10763282123017248,0.631804360745222,No strong response,No strong response,99
N-Acetylmuramate,N-Acetylmuramate,-0.5001251026992044,0.012158759308197542,0.051203134621188084,0.7630800454225433,-0.5513282373203925,0.022286687689577256,No strong response,No strong response,99
Ectoine,Ectoine,-0.6769016628332096,0.0025993203376508843,-0.0069494584513130064,0.9571621407572837,-0.6699522043818966,0.0017566615308367236,No strong response,No strong response,99
Nicotinamide,Nicotinamide,-0.11116266334055425,0.7676576689731184,0.32712947296911565,0.25017830409968156,-0.4382921363096699,0.34062799108352826,No strong response,No strong response,99
Uridine 5'-monophosphate | row_84,Uridine 5'-monophosphate,-1.5631304136665563,0.007200277587696537,-0.297509437494071,0.20070600997179208,-1.2656209761724853,0.00822858445872749,2N down,2N-specific response,1
4-Guanidinobutanoate | row_85,4-Guanidinobutanoate,-1.2678387925195196,0.00033724241507627394,-0.5526756178623238,0.0033437190921514373,-0.7151631746571958,0.0004388626788897333,2N down,2N-specific response,1
Citrulline | row_86,Citrulline,-0.1430923679120184,0.2497383416632623,-0.16916060277791445,0.0637021693122701,0.026068234865896045,0.8409572713469834,No strong response,No strong response,99
Pipecolate,Pipecolate,-0.9058105212806566,0.09840639974675765,-0.46513352055692536,0.01868125234504132,-0.4406770007237313,0.36823974728869285,No strong response,No strong response,99
O-Phosphorylethanolamine | row_88,O-Phosphorylethanolamine,-0.2634687613511737,0.06552369231476657,-0.7808936168735592,8.949004188528956e-05,0.5174248555223855,0.0033000638608616096,No strong response,No strong response,99
5-Oxo-D-Proline;5-Oxo-L-Proline,5-Oxo-D-Proline;5-Oxo-L-Proline,-0.6313992949731428,0.004782242084311939,-0.1965145906704855,0.3551826639745073,-0.43488470430265735,0.0986488939012067,No strong response,No strong response,99
Glycine | row_90,Glycine,-0.48977154952261515,0.00657161325948757,-0.005764236291827984,0.9305201686679146,-0.48400731323078716,0.0012961026559537583,No strong response,No strong response,99
Taurine | row_91,Taurine,-0.6607632527353751,0.00017487498498509806,-0.0612314599855317,0.1571133466652095,-0.5995317927498434,3.6565938702253276e-06,No strong response,No strong response,99
L-Histidine,L-Histidine,-1.1882807362871368,0.22921917703799524,-0.18505462633469705,0.3665370988428806,-1.0032261099524398,0.2480786036417249,No strong response,No strong response,99
N-Acetylcysteine,N-Acetylcysteine,-0.3775029029732835,0.03894908743622744,-0.135472523126694,0.14938409983527118,-0.24203037984658948,0.1373325572671593,No strong response,No strong response,99
Pseudouridine | row_94,Pseudouridine,0.1760575688518351,0.4444200859867699,0.33980383234444034,0.011690426541196394,-0.16374626349260524,0.47380330827978767,No strong response,No strong response,99
N-Acetyl-L-Leucine | row_95,N-Acetyl-L-Leucine,-0.620575223627057,0.001277767919386624,-0.2711301297152495,0.15127982660731112,-0.34944509391180745,0.08562565469849968,No strong response,No strong response,99
N-Acetyl-L-Methionine | row_96,N-Acetyl-L-Methionine,-0.6464491517293034,9.832012754118667e-06,-0.4408186699441785,6.164852519882987e-06,-0.20563048178512489,0.003051556192656004,No strong response,No strong response,99
(S)-Dihydroorotate,(S)-Dihydroorotate,-3.5906122490381804,9.399010515148674e-07,-3.031712385601665,0.0003169991554223967,-0.5588998634365154,0.09552302223636729,Common down,Common gem response,5
Oxalic acid,Oxalic acid,-0.7689858888406711,0.06865070355602072,-0.0634717975699921,0.7249973241278544,-0.705514091270679,0.08051806050194794,No strong response,No strong response,99
Taurine | row_99,Taurine,-0.6933068161310665,0.0003272880544111229,-0.08834056044575789,0.18892069769274833,-0.6049662556853086,2.279270075254182e-05,No strong response,No strong response,99
3-(2-Hydroxyphenyl)propanoate,3-(2-Hydroxyphenyl)propanoate,0.2641644816539461,0.08231399100237762,-0.3174196400444522,0.008945118074403562,0.5815841216983983,0.0007705988535554979,No strong response,No strong response,99
N-Formylphenylalanine | row_101,N-Formylphenylalanine,-0.6857198931269579,2.5597942233060176e-05,-0.44081690675527696,0.0011763731258637691,-0.24490298637168095,0.0247935847061127,No strong response,No strong response,99
Docosadienoate (22:2n6),Docosadienoate (22:2n6),0.8016584879823831,0.013435916427722154,0.35354740709031773,0.13281833346240346,0.4481110808920654,0.12477839245430425,No strong response,No strong response,99
Trans-4-Hydroxy-L-Proline,Trans-4-Hydroxy-L-Proline,-0.38313546161105094,0.011508710058121827,-0.16730515040942606,0.08949334741068524,-0.21583031120162488,0.10696083602511254,No strong response,No strong response,99
D-Pantothenic acid | row_104,D-Pantothenic acid,-0.2371037166633414,0.004705143905307358,-0.25266877117118725,0.0006881959516008328,0.015565054507845844,0.7942789973024342,No strong response,No strong response,99
Erythronic acid,Erythronic acid,-1.5561601292520244,0.016653350249097136,-0.7994746672222952,0.026391103495197573,-0.7566854620297292,0.13753245692128283,2N down,2N-specific response,1
Glyceraldehyde 3-phosphate | row_106,Glyceraldehyde 3-phosphate,-0.3529821119816887,0.03394382926332533,0.5510831316849512,0.0018073462365937772,-0.9040652436666399,7.32932180325028e-05,No strong response,No strong response,99
Uridine 5'-monophosphate | row_107,Uridine 5'-monophosphate,-1.2876994975102711,0.015995179480916027,-0.14350077215071977,0.5950955075277898,-1.1441987253595514,0.014483072980215051,2N down,2N-specific response,1
Bilirubin,Bilirubin,-0.2490405114723444,0.11527853190999662,0.36949569966522233,0.06107906768260303,-0.6185362111375667,0.010648382894258632,No strong response,No strong response,99
"L,L-Cyclo(leucylprolyl)","L,L-Cyclo(leucylprolyl)",0.28387532905527557,0.17599341851168476,0.6368481620195432,0.03508510303535892,-0.3529728329642676,0.18508133180822195,No strong response,No strong response,99
Stearoyl-L-carnitine,Stearoyl-L-carnitine,0.05729365757045457,0.7892591787988765,-0.08077563654212128,0.7802025657047196,0.13806929411257585,0.6916382252612937,No strong response,No strong response,99
Biotin | row_111,Biotin,-0.573924344148665,0.01205106090890184,-0.5392864811254121,0.0027471180082616806,-0.03463786302325289,0.8578850340930813,No strong response,No strong response,99
O-Phosphorylethanolamine | row_112,O-Phosphorylethanolamine,-0.30831850550832485,0.13090425360317764,-0.8096209094876947,0.000587275631559499,0.5013024039793699,0.03384877423013171,No strong response,No strong response,99
Docosapentaenoic acid,Docosapentaenoic acid,1.0384050738373958,0.07402962604092637,1.296523738162076,0.03585416754047437,-0.2581186643246802,0.6898334427249686,4N up,4N-specific response,2
11Z-Eicosenoic acid,11Z-Eicosenoic acid,0.7315432830884241,0.026686714909257118,0.3748132516348477,0.09838134292628575,0.3567300314535764,0.20172566414000245,No strong response,No strong response,99
Hydroxycotinine,Hydroxycotinine,0.002501788009887207,0.989880898575806,0.4347757349155934,0.19263919033704147,-0.4322739469057062,0.21043102892641252,No strong response,No strong response,99
3-Methyl-L-Histidine;1-Methyl-L-Histidine | row_116,3-Methyl-L-Histidine;1-Methyl-L-Histidine,-0.33888951158782277,0.2173609021159972,-0.32191994267200386,0.16081153620195884,-0.01696956891581891,0.9561580845058297,No strong response,No strong response,99
Methylguanidine,Methylguanidine,-0.21210929978394333,0.2610222790887026,0.33438465927401495,0.054924546820528136,-0.5464939590579583,0.025769225620607815,No strong response,No strong response,99
Ursodeoxycholic acid;Chenodeoxycholic acid (CDCA);Deoxycholate;Isoursodeoxycholic acid,Ursodeoxycholic acid;Chenodeoxycholic acid (CDCA);Deoxycholate;Isoursodeoxycholic acid,-0.3274847367013862,0.02301115360451974,0.06701103227996086,0.6199694878078903,-0.3944957689813471,0.032212868782038426,No strong response,No strong response,99
Xanthosine 5'-monophosphate | row_119,Xanthosine 5'-monophosphate,-0.16773404784096613,0.38939851181198976,-0.23251758743788642,0.314564385975712,0.06478353959692029,0.8170649681757022,No strong response,No strong response,99
"NG,NG'-Dimethyl-L-arginine","NG,NG'-Dimethyl-L-arginine",0.025016481299921622,0.8311231099410507,0.0058996541137759095,0.931329145068279,0.019116827186145713,0.8848608686070959,No strong response,No strong response,99
L-Anserine | row_121,L-Anserine,-0.2382345224068132,0.35061804096439253,0.31482087905896705,0.2732716396260653,-0.5530554014657802,0.13706247716905806,No strong response,No strong response,99
"N6,N6,N6-Trimethyl-L-lysine","N6,N6,N6-Trimethyl-L-lysine",-0.4119933570396519,0.05706697925154663,-0.1476949821451683,0.16890136749995044,-0.2642983748944836,0.17099104239629845,No strong response,No strong response,99
Creatine | row_123,Creatine,-0.3757943389186522,0.0037475244153953938,-0.07965943647555918,0.03908388721121369,-0.29613490244309304,0.00456878680234653,No strong response,No strong response,99
Dihomo-gamma-Linolenic acid,Dihomo-gamma-Linolenic acid,0.7170520037409354,0.14049400421584718,0.8855378377167611,0.0706653924084586,-0.16848583397582573,0.7500283664756654,No strong response,No strong response,99
