direction	metric	cancer_type	category_label	pvalue	pvalue_for_fdr	qvalue_bh
low_ploidy_sensitive	Z_SCORE	LUSC	Hormone therapy	0.089	0.089	0.510782608695652
low_ploidy_sensitive	Z_SCORE	LGG	Kinase inhibitors	0.029	0.029	0.294461538461538
low_ploidy_sensitive	Z_SCORE	LGG	Epigenetic inhibitors	0.95	0.95	1
low_ploidy_sensitive	Z_SCORE	LGG	Other	0.939	0.939	1
low_ploidy_sensitive	Z_SCORE	LGG	DNA damage repair inhibitors	0.852	0.852	1
low_ploidy_sensitive	Z_SCORE	LGG	Metabolic/redox agents	0.072	0.072	0.463609756097561
low_ploidy_sensitive	Z_SCORE	LGG	Proapoptotic agents	0.205	0.205	0.702857142857143
low_ploidy_sensitive	Z_SCORE	LGG	WNT/HH pathway inhibitors	0.353	0.353	0.889004651162791
low_ploidy_sensitive	Z_SCORE	LGG	Chemotherapy agents	0.72	0.72	1
low_ploidy_sensitive	Z_SCORE	LGG	Chaperone/protein-homeostasis inhibitors	0.386	0.386	0.914451063829787
low_ploidy_sensitive	Z_SCORE	LGG	p53/MDM2 pathway	0.571	0.571	1
low_ploidy_sensitive	Z_SCORE	LGG	Hormone therapy	0.919	0.919	1
high_ploidy_sensitive	Z_SCORE	allcancers	Kinase inhibitors	0.001	0.001	0.0310588235294118
high_ploidy_sensitive	Z_SCORE	allcancers	Epigenetic inhibitors	0.278	0.278	0.780765957446809
high_ploidy_sensitive	Z_SCORE	allcancers	Other	0.808	0.808	1
high_ploidy_sensitive	Z_SCORE	allcancers	DNA damage repair inhibitors	0.985	0.985	1
high_ploidy_sensitive	Z_SCORE	allcancers	Metabolic/redox agents	0.207	0.207	0.704
high_ploidy_sensitive	Z_SCORE	allcancers	Proapoptotic agents	0.618	0.618	1
high_ploidy_sensitive	Z_SCORE	allcancers	WNT/HH pathway inhibitors	0.106	0.106	0.528
high_ploidy_sensitive	Z_SCORE	allcancers	Chemotherapy agents	0.996	0.996	1
