DATASET	NLME_RESULT_ID	NLME_CURVE_ID	COSMIC_ID	CELL_LINE_NAME	SANGER_MODEL_ID	TCGA_DESC	DRUG_ID	DRUG_NAME	PUTATIVE_TARGET	PATHWAY_NAME	COMPANY_ID	WEBRELEASE	MIN_CONC	MAX_CONC	LN_IC50	AUC	RMSE	Z_SCORE	CELL_LINE_NAME_RAW	CELL_LINE_KEY	selected	selection_reason	selection_sort_columns
GDSC2	401	18959838	688025	NCIH526	SIDM01128	SCLC	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-5.036262	0.846675	0.102794	-0.433194	NCI-H526	NCIH526	FALSE	not selected	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18960454	688031	NCIH82	SIDM01131	SCLC	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-5.414883	0.805423	0.094484	-0.674448	NCI-H82	NCIH82	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18960736	688058	NCIH2052	SIDM00713	MESO	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-3.442385	0.901702	0.07029	0.582412	NCI-H2052	NCIH2052	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18961017	688086	SKNDZ	SIDM01100	NB	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-5.991737	0.733978	0.104859	-1.042015	SK-N-DZ	SKNDZ	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18961467	688121	VAESBJ	SIDM01179	UNCLASSIFIED	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-4.504665	0.829761	0.068974	-0.094465	VA-ES-BJ	VAESBJ	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18961748	713869	VMRCLCD	SIDM00320	LUAD	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-4.631171	0.83163	0.089961	-0.175073	VMRC-LCD	VMRCLCD	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18962028	713878	LU139	SIDM00293	SCLC	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-4.614723	0.854698	0.053488	-0.164593	LU-139	LU139	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18962261	713880	SBC5	SIDM00368	SCLC	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-5.603163	0.781888	0.069556	-0.794418	SBC-5	SBC5	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18963350	722046	NCIH2122	SIDM00702	LUAD	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-6.925399	0.61977	0.141529	-1.636936	NCI-H2122	NCIH2122	FALSE	not selected	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18963810	722066	NCIH650	SIDM01124	LUAD	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-2.430235	0.969998	0.050964	1.227346	NCI-H650	NCIH650	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
