cancer_type	drug	metric	n_raw	pearson_r_raw	pearson_p_raw	pearson_fdr_raw	spearman_rho_raw	spearman_p_raw	spearman_fdr_raw	n_normalized	pearson_r_normalized	pearson_p_normalized	pearson_fdr_normalized	spearman_rho_normalized	spearman_p_normalized	spearman_fdr_normalized	n_delta	pearson_r_delta	spearman_rho_delta	delta_status
LIHC	720427	Z_SCORE	12	0.177990778463174	0.579958731709282	0.992103240001164	0.188811188811189	0.556737056176831	0.983877963405878	12	0.177990778463174	0.579958731709282	0.992103240001164	0.188811188811189	0.556737056176831	0.983877963405878	0	0	0	unchanged
LIHC	729189	Z_SCORE	12	-0.0892002663636033	0.782795935722403	0.992103240001164	-0.118881118881119	0.712884219214771	0.983877963405878	12	-0.0892002663636033	0.782795935722403	0.992103240001164	-0.118881118881119	0.712884219214771	0.983877963405878	0	0	0	unchanged
LIHC	741909	Z_SCORE	12	-0.124684664039497	0.699430812483036	0.992103240001164	-0.377622377622378	0.226206044935027	0.983877963405878	12	-0.124684664039497	0.699430812483036	0.992103240001164	-0.377622377622378	0.226206044935027	0.983877963405878	0	0	0	unchanged
LIHC	743380	Z_SCORE	12	0.100728606346619	0.755436216137072	0.992103240001164	-0.223776223776224	0.484451661455399	0.983877963405878	12	0.100728606346619	0.755436216137072	0.992103240001164	-0.223776223776224	0.484451661455399	0.983877963405878	0	0	0	unchanged
LIHC	765771	Z_SCORE	12	-0.502887933398871	0.095623191711154	0.992103240001164	-0.573426573426573	0.0512655897864915	0.983877963405878	12	-0.502887933398871	0.095623191711154	0.992103240001164	-0.573426573426573	0.0512655897864915	0.983877963405878	0	0	0	unchanged
LIHC	776928	Z_SCORE	12	-0.23864166686324	0.45508757912988	0.992103240001164	-0.041958041958042	0.896985870819554	0.983877963405878	12	-0.23864166686324	0.45508757912988	0.992103240001164	-0.041958041958042	0.896985870819554	0.983877963405878	0	0	0	unchanged
LIHC	A-366	Z_SCORE	11	-0.0590705401052056	0.863029809652089	0.992103240001164	0.0636363636363636	0.852539072542522	0.983877963405878	11	-0.0590705401052056	0.863029809652089	0.992103240001164	0.0636363636363636	0.852539072542522	0.983877963405878	0	0	0	unchanged
LIHC	ABT737	Z_SCORE	11	-0.232718215001637	0.491053653368829	0.992103240001164	-0.145454545454545	0.669578645642079	0.983877963405878	11	-0.232718215001637	0.491053653368829	0.992103240001164	-0.145454545454545	0.669578645642079	0.983877963405878	0	0	0	unchanged
LIHC	Acetalax	Z_SCORE	12	-0.125353787970233	0.697884700643365	0.992103240001164	-0.223776223776224	0.484451661455399	0.983877963405878	12	-0.125353787970233	0.697884700643365	0.992103240001164	-0.223776223776224	0.484451661455399	0.983877963405878	0	0	0	unchanged
LIHC	Afatinib	Z_SCORE	12	-0.257779443270541	0.418570661186891	0.992103240001164	-0.0979020979020979	0.762121655996299	0.983877963405878	12	-0.257779443270541	0.418570661186891	0.992103240001164	-0.0979020979020979	0.762121655996299	0.983877963405878	0	0	0	unchanged
