Feature_ID,Metabolite,comparison,group_a,group_b,log2FC,fold_change,p_value,FDR_BH
Erythronic acid,Erythronic acid,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-1.5561601292520244,0.3400549672383228,0.016653350249097136,0.059798907737408126
Glyceraldehyde 3-phosphate | row_106,Glyceraldehyde 3-phosphate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.3529821119816887,0.7829640041901109,0.03394382926332533,0.09769199641639972
Uridine 5'-monophosphate | row_107,Uridine 5'-monophosphate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-1.2876994975102711,0.4096036573958149,0.015995179480916027,0.05944665129915248
Bilirubin,Bilirubin,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.2490405114723444,0.8414558535258791,0.11527853190999662,0.23238825957331516
"L,L-Cyclo(leucylprolyl)","L,L-Cyclo(leucylprolyl)",Gem_response_2N_G_vs_2N_C,2N_C,2N_G,0.28387532905527557,1.2174608068593913,0.17599341851168476,0.31111945145136777
Stearoyl-L-carnitine,Stearoyl-L-carnitine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,0.05729365757045457,1.040512039026497,0.7892591787988765,0.8724363756277979
Biotin | row_111,Biotin,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.573924344148665,0.6717869408741043,0.01205106090890184,0.049243912436256226
O-Phosphorylethanolamine | row_112,O-Phosphorylethanolamine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.30831850550832485,0.8075824669810394,0.13090425360317764,0.25219105183959123
Docosapentaenoic acid,Docosapentaenoic acid,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,1.0384050738373958,2.053955711519786,0.07402962604092637,0.16746543201684436
11Z-Eicosenoic acid,11Z-Eicosenoic acid,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,0.7315432830884241,1.6604143242222706,0.026686714909257118,0.08228028424031446
Hydroxycotinine,Hydroxycotinine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,0.002501788009887207,1.001735611738976,0.989880898575806,0.9919825565345657
3-Methyl-L-Histidine;1-Methyl-L-Histidine | row_116,3-Methyl-L-Histidine;1-Methyl-L-Histidine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.33888951158782277,0.7906496659776243,0.2173609021159972,0.3599801606973708
Methylguanidine,Methylguanidine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.21210929978394333,0.8632741537243677,0.2610222790887026,0.41067505243289215
