Feature_ID,Metabolite,log2FC_2N_G_vs_C,FC_2N_G_vs_C,log2FC_4N_G_vs_C,FC_4N_G_vs_C,Differential_response_delta_log2FC_2N_minus_4N,p_interaction,FDR_interaction_BH
5-Oxo-D-Proline;5-Oxo-L-Proline,5-Oxo-D-Proline;5-Oxo-L-Proline,-0.6313992949731428,0.6455499814360727,-0.1965145906704855,0.8726562704047309,-0.43488470430265735,0.0986488939012067,0.26983180690734027
Glycine | row_90,Glycine,-0.48977154952261515,0.7121378557607918,-0.005764236291827984,0.9960125071132492,-0.48400731323078716,0.0012961026559537583,0.017992954517946292
Taurine | row_91,Taurine,-0.6607632527353751,0.632543563501445,-0.0612314599855317,0.9584456571266559,-0.5995317927498434,3.6565938702253276e-06,0.0005753041022487849
L-Histidine,L-Histidine,-1.1882807362871368,0.43882549875500054,-0.18505462633469705,0.8796157694413262,-1.0032261099524398,0.2480786036417249,0.49059016367276886
N-Acetylcysteine,N-Acetylcysteine,-0.3775029029732835,0.7697687970075411,-0.135472523126694,0.9103716124967833,-0.24203037984658948,0.1373325572671593,0.34882790258284085
Pseudouridine | row_94,Pseudouridine,0.1760575688518351,1.1297922965492069,0.33980383234444034,1.265584496876863,-0.16374626349260524,0.47380330827978767,0.6988598797126868
N-Acetyl-L-Leucine | row_95,N-Acetyl-L-Leucine,-0.620575223627057,0.6504115474121281,-0.2711301297152495,0.8286701558600443,-0.34944509391180745,0.08562565469849968,0.24715720650537598
N-Acetyl-L-Methionine | row_96,N-Acetyl-L-Methionine,-0.6464491517293034,0.6388507583462374,-0.4408186699441785,0.7367164338116181,-0.20563048178512489,0.003051556192656004,0.030095816127749645
(S)-Dihydroorotate,(S)-Dihydroorotate,-3.5906122490381804,0.08300762923591226,-3.031712385601665,0.12228230984345435,-0.5588998634365154,0.09552302223636729,0.26678619228145184
Oxalic acid,Oxalic acid,-0.7689858888406711,0.5868298289598917,-0.0634717975699921,0.9569584575302228,-0.705514091270679,0.08051806050194794,0.24053496555012296
Taurine | row_99,Taurine,-0.6933068161310665,0.6184347036304724,-0.08834056044575789,0.9406040437131129,-0.6049662556853086,2.279270075254182e-05,0.0013447693443999673
3-(2-Hydroxyphenyl)propanoate,3-(2-Hydroxyphenyl)propanoate,0.2641644816539461,1.2009403388820814,-0.3174196400444522,0.8025039285896242,0.5815841216983983,0.0007705988535554979,0.012990094959935536
N-Formylphenylalanine | row_101,N-Formylphenylalanine,-0.6857198931269579,0.6216955282100639,-0.44081690675527696,0.7367173341897276,-0.24490298637168095,0.0247935847061127,0.11145306648843042
Docosadienoate (22:2n6),Docosadienoate (22:2n6),0.8016584879823831,1.7431038060251014,0.35354740709031773,1.2776984690656228,0.4481110808920654,0.12477839245430425,0.32360110570566814
Trans-4-Hydroxy-L-Proline,Trans-4-Hydroxy-L-Proline,-0.38313546161105094,0.7667693307775727,-0.16730515040942606,0.890504526381123,-0.21583031120162488,0.10696083602511254,0.2876717088108815
D-Pantothenic acid | row_104,D-Pantothenic acid,-0.2371037166633414,0.8484469038909688,-0.25266877117118725,0.8393423198658497,0.015565054507845844,0.7942789973024342,0.8782962184170479
Erythronic acid,Erythronic acid,-1.5561601292520244,0.3400549672383228,-0.7994746672222952,0.5745583550314038,-0.7566854620297292,0.13753245692128283,0.34882790258284085
Glyceraldehyde 3-phosphate | row_106,Glyceraldehyde 3-phosphate,-0.3529821119816887,0.7829640041901109,0.5510831316849512,1.4651852998086585,-0.9040652436666399,7.32932180325028e-05,0.002514418615471565
Uridine 5'-monophosphate | row_107,Uridine 5'-monophosphate,-1.2876994975102711,0.4096036573958149,-0.14350077215071977,0.9053196840399037,-1.1441987253595514,0.014483072980215051,0.08439519069952475
Bilirubin,Bilirubin,-0.2490405114723444,0.8414558535258791,0.36949569966522233,1.291901162023044,-0.6185362111375667,0.010648382894258632,0.06791941521743344
"L,L-Cyclo(leucylprolyl)","L,L-Cyclo(leucylprolyl)",0.28387532905527557,1.2174608068593913,0.6368481620195432,1.5549284130514682,-0.3529728329642676,0.18508133180822195,0.4159923267308608
Stearoyl-L-carnitine,Stearoyl-L-carnitine,0.05729365757045457,1.040512039026497,-0.08077563654212128,0.9455491541886459,0.13806929411257585,0.6916382252612937,0.8285032041973338
Biotin | row_111,Biotin,-0.573924344148665,0.6717869408741043,-0.5392864811254121,0.6881111465310272,-0.03463786302325289,0.8578850340930813,0.9159578684315299
O-Phosphorylethanolamine | row_112,O-Phosphorylethanolamine,-0.30831850550832485,0.8075824669810394,-0.8096209094876947,0.5705317543125232,0.5013024039793699,0.03384877423013171,0.1385648905557778
Docosapentaenoic acid,Docosapentaenoic acid,1.0384050738373958,2.053955711519786,1.296523738162076,2.4563629336039994,-0.2581186643246802,0.6898334427249686,0.8285032041973338
11Z-Eicosenoic acid,11Z-Eicosenoic acid,0.7315432830884241,1.6604143242222706,0.3748132516348477,1.2966716972827166,0.3567300314535764,0.20172566414000245,0.43870504205731325
Hydroxycotinine,Hydroxycotinine,0.002501788009887207,1.001735611738976,0.4347757349155934,1.3517006965649505,-0.4322739469057062,0.21043102892641252,0.446054078105087
3-Methyl-L-Histidine;1-Methyl-L-Histidine | row_116,3-Methyl-L-Histidine;1-Methyl-L-Histidine,-0.33888951158782277,0.7906496659776243,-0.32191994267200386,0.8000045205608449,-0.01696956891581891,0.9561580845058297,0.978973136413778
Methylguanidine,Methylguanidine,-0.21210929978394333,0.8632741537243677,0.33438465927401495,1.260839518727042,-0.5464939590579583,0.025769225620607815,0.11406738168803245
Ursodeoxycholic acid;Chenodeoxycholic acid (CDCA);Deoxycholate;Isoursodeoxycholic acid,Ursodeoxycholic acid;Chenodeoxycholic acid (CDCA);Deoxycholate;Isoursodeoxycholic acid,-0.3274847367013862,0.7969246697421685,0.06701103227996086,1.0475441376326424,-0.3944957689813471,0.032212868782038426,0.1336721941675902
Xanthosine 5'-monophosphate | row_119,Xanthosine 5'-monophosphate,-0.16773404784096613,0.8902398284883731,-0.23251758743788642,0.8511482913677852,0.06478353959692029,0.8170649681757022,0.8869734332137363
"NG,NG'-Dimethyl-L-arginine","NG,NG'-Dimethyl-L-arginine",0.025016481299921622,1.0174913158230716,0.0058996541137759095,1.0040977013285395,0.019116827186145713,0.8848608686070959,0.9322641294253331
L-Anserine | row_121,L-Anserine,-0.2382345224068132,0.8477821392000235,0.31482087905896705,1.243857209913435,-0.5530554014657802,0.13706247716905806,0.34882790258284085
"N6,N6,N6-Trimethyl-L-lysine","N6,N6,N6-Trimethyl-L-lysine",-0.4119933570396519,0.7515841997312664,-0.1476949821451683,0.9026915563834149,-0.2642983748944836,0.17099104239629845,0.39601259733462457
Creatine | row_123,Creatine,-0.3757943389186522,0.7706809637187759,-0.07965943647555918,0.9462810000669915,-0.29613490244309304,0.00456878680234653,0.03844736108413092
Dihomo-gamma-Linolenic acid,Dihomo-gamma-Linolenic acid,0.7170520037409354,1.6438196270491072,0.8855378377167611,1.8474532249447668,-0.16848583397582573,0.7500283664756654,0.8571237518743461
D-Mannose 6-phosphate | row_125,D-Mannose 6-phosphate,0.21642673863176043,1.1618523485228638,0.061643537220970046,1.0436540283033642,0.15478320141079038,0.5914032991093299,0.7860527661218099
Ophthalmic acid | row_126,Ophthalmic acid,0.18670347438783708,1.1381600722867071,0.40036623161972784,1.3198429135610232,-0.21366275723189077,0.5637887244388193,0.766882645346175
Biotin | row_127,Biotin,-0.5703227755039286,0.6734660963798326,-0.64296235262184,0.6403966417086572,0.07263957711791136,0.6281611379009929,0.8123070057240237
NADPH | row_128,NADPH,-0.6239889088497925,0.6488743718664854,-0.6512216960581831,0.6367408834483169,0.02723278720839062,0.920335437243813,0.9573716814754839
