drug	metric	n	n_cancer_types	n_tissues	beta_ploidy	se_ploidy	t_ploidy	p_ploidy	fdr_ploidy	model_formula	model_status	rank_deficient	skipped_reason	notes
IWP-2	Z_SCORE	573	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
JAK_8517	Z_SCORE	493	29	29	-0.0095236231402372	0.0613982061482091	-0.155112400470596	0.876800303254664	0.949113730327214	response ~ ploidy + TCGA_DESC	ok	FALSE		
JAK1_8709	Z_SCORE	493	29	29	0.162002142253903	0.0594514380239161	2.72494909523859	0.00667466573994275	0.255449363416524	response ~ ploidy + TCGA_DESC	ok	FALSE		
JNK Inhibitor VIII	Z_SCORE	613	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
JQ1	Z_SCORE	612	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
KRAS (G12C) Inhibitor-12	Z_SCORE	571	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
KU-55933	Z_SCORE	618	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
L-Oxonoreleagnine	Z_SCORE	490	29	29	0.0809739804629987	0.0626524497632643	1.29243119413468	0.196856696215777	0.564273605381136	response ~ ploidy + TCGA_DESC	ok	FALSE		
Lapatinib	Z_SCORE	622	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
LCL161	Z_SCORE	573	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Leflunomide	Z_SCORE	574	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Lenalidomide	Z_SCORE	612	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Lestaurtinib	Z_SCORE	611	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
