cancer	drug	correlation
UNCLASSIFIED	Veliparib	0.110304403828474
UNCLASSIFIED	Picolinici-acid	0.110805209868837
UNCLASSIFIED	PLX-4720	0.111052177762335
UNCLASSIFIED	Mitoxantrone	0.111641627271099
UNCLASSIFIED	THR-103	0.113436320974315
UNCLASSIFIED	GSK2801	0.114127000409216
UNCLASSIFIED	Wee1 Inhibitor	0.114498850728314
UNCLASSIFIED	CPI-637	0.11534549025791
UNCLASSIFIED	Mycophenolic acid	0.115773106088805
UNCLASSIFIED	Dabrafenib	0.116264731544723
UNCLASSIFIED	GNE-317	0.116592960660034
UNCLASSIFIED	PRIMA-1MET	0.1170775459388
UNCLASSIFIED	N30652-18-1	0.11755162973327
UNCLASSIFIED	AZD5991	0.1181791876135
UNCLASSIFIED	BIBR-1532	0.118350952891181
UNCLASSIFIED	AZD4547	0.118857991959284
UNCLASSIFIED	BDP-00009066	0.119368816142732
UNCLASSIFIED	Uprosertib	0.120223556175192
UNCLASSIFIED	Navitoclax	0.121458864597248
UNCLASSIFIED	Savolitinib	0.121668993687828
UNCLASSIFIED	N25720-51-A1	0.122436861145974
UNCLASSIFIED	PCI-34051	0.122790319851176
UNCLASSIFIED	Axitinib	0.125178257842789
UNCLASSIFIED	Foretinib	0.126186596830388
UNCLASSIFIED	Epirubicin	0.126478479443948
UNCLASSIFIED	CCT007093	0.126635846820116
UNCLASSIFIED	Elephantin	0.128043916981034
UNCLASSIFIED	Podophyllotoxin bromide	0.12895465361608
UNCLASSIFIED	Palbociclib	0.129041721772106
UNCLASSIFIED	Mirin	0.129763469115659
UNCLASSIFIED	Paclitaxel	0.130321269739939
UNCLASSIFIED	Bortezomib	0.13063272860184
UNCLASSIFIED	Schweinfurthin A	0.131236224971195
UNCLASSIFIED	KRAS (G12C) Inhibitor-12	0.131552818074213
UNCLASSIFIED	Rucaparib	0.133749262641997
UNCLASSIFIED	THR-101	0.133887784067217
UNCLASSIFIED	GSK2276186C	0.134029915190654
UNCLASSIFIED	729189	0.134093619110071
UNCLASSIFIED	PBD-288	0.13465773756688
UNCLASSIFIED	AZD3759	0.135099515025287
UNCLASSIFIED	Gemcitabine	0.136860896750959
UNCLASSIFIED	5-Fluorouracil	0.137429427387894
UNCLASSIFIED	Sorafenib	0.138355557073411
UNCLASSIFIED	AGK2	0.138444182895065
UNCLASSIFIED	MIM1	0.13869649720412
UNCLASSIFIED	Taselisib	0.138826372022204
UNCLASSIFIED	CHIR-99021	0.13982133337159
UNCLASSIFIED	GSK2256098C	0.141710662768167
UNCLASSIFIED	Tanespimycin	0.141830024416346
UNCLASSIFIED	Irinotecan	0.14346247917729
UNCLASSIFIED	720427	0.145638909166316
UNCLASSIFIED	THR-102	0.146094059010407
UNCLASSIFIED	IRAK4_4710	0.146670240603796
UNCLASSIFIED	Cisplatin	0.148821432586505
UNCLASSIFIED	IAP_5620	0.149163571960096
UNCLASSIFIED	Ibrutinib	0.150533090054492
UNCLASSIFIED	WIKI4	0.150907176394719
UNCLASSIFIED	MK-2206	0.152183742010898
UNCLASSIFIED	YK-4-279	0.152676861480376
UNCLASSIFIED	667880	0.152929657626097
UNCLASSIFIED	SB216763	0.153177819839666
UNCLASSIFIED	Nilotinib	0.153475250127676
UNCLASSIFIED	OSI-027	0.153710960695724
UNCLASSIFIED	Buparlisib	0.154183930262184
UNCLASSIFIED	ABT737	0.155911976804217
UNCLASSIFIED	Sapitinib	0.156289305944782
UNCLASSIFIED	AZD1208	0.156753556869472
UNCLASSIFIED	Telomerase Inhibitor IX	0.157107497434143
UNCLASSIFIED	Dacarbazine	0.157136645862366
UNCLASSIFIED	GSK626616AC	0.157957287978041
UNCLASSIFIED	615590	0.15843161820733
UNCLASSIFIED	BPD-00008900	0.158466755522566
UNCLASSIFIED	KU-55933	0.158620095806107
UNCLASSIFIED	Camptothecin	0.16103774127929
UNCLASSIFIED	630600	0.162021151221325
UNCLASSIFIED	Oxaliplatin	0.162387996786885
UNCLASSIFIED	743380	0.162852368878733
UNCLASSIFIED	LMP744	0.166270243403668
UNCLASSIFIED	LMB_AB2	0.166552046794408
UNCLASSIFIED	AZ6102	0.166631862809641
UNCLASSIFIED	GSK2830371	0.167572553765378
UNCLASSIFIED	Lapatinib	0.167650934964507
UNCLASSIFIED	Motesanib	0.168468327026875
UNCLASSIFIED	Topotecan	0.168999901699062
UNCLASSIFIED	Osimertinib	0.172181516255507
UNCLASSIFIED	5-azacytidine	0.172421241494186
UNCLASSIFIED	Erlotinib	0.172982735556521
UNCLASSIFIED	Tamoxifen	0.175491300536896
UNCLASSIFIED	741909	0.175994303214126
UNCLASSIFIED	CDK9_5576	0.180994714665845
UNCLASSIFIED	Vinblastine	0.183419007975193
UNCLASSIFIED	Nelarabine	0.185004457302443
UNCLASSIFIED	GSK2606414	0.185362884158044
UNCLASSIFIED	CDK9_5038	0.192266854909874
UNCLASSIFIED	LMB_AB1	0.195299383884127
UNCLASSIFIED	Cediranib	0.198293883597457
UNCLASSIFIED	AZD5438	0.199261117495793
UNCLASSIFIED	123138	0.199582727235329
UNCLASSIFIED	AZD6738	0.199629142645594
UNCLASSIFIED	Eg5_9814	0.200436367953155
UNCLASSIFIED	AZD7762	0.201922082350489
UNCLASSIFIED	Olaparib	0.206382974534609
UNCLASSIFIED	SN-38	0.206825525403992
UNCLASSIFIED	Talazoparib	0.207457788000531
UNCLASSIFIED	CT7033-2	0.209216050539996
UNCLASSIFIED	Dactinomycin	0.212449089856393
UNCLASSIFIED	Afuresertib	0.214614800669826
UNCLASSIFIED	Venetoclax	0.217292346572287
UNCLASSIFIED	AGI-5198	0.217567959760723
UNCLASSIFIED	BEN	0.218409181370996
UNCLASSIFIED	150412	0.218502022701802
UNCLASSIFIED	AZD8055	0.220377798449741
UNCLASSIFIED	Sinularin	0.221052655522628
UNCLASSIFIED	AZD6482	0.22498913386665
UNCLASSIFIED	Afatinib	0.225245561008229
UNCLASSIFIED	VSP34_8731	0.228650784032191
UNCLASSIFIED	Bleomycin (50 uM)	0.231847155139051
UNCLASSIFIED	Temsirolimus	0.2326284414349
UNCLASSIFIED	Niraparib	0.232927990397243
UNCLASSIFIED	IOX2	0.233079560069384
UNCLASSIFIED	Zoledronate	0.235006989641873
UNCLASSIFIED	LMB_AB3	0.235028941674222
UNCLASSIFIED	Cytarabine	0.246508672937302
UNCLASSIFIED	SGC0946	0.24685506279469
UNCLASSIFIED	AZD5363	0.249882446155325
UNCLASSIFIED	Bleomycin	0.256911236314919
UNCLASSIFIED	GSK2830371A	0.26576902919854
UNCLASSIFIED	Ipatasertib	0.272761766304487
UNCLASSIFIED	Acetalax	0.281541001981872
