drug	drug_key	pubchem_category	legacy_group_used_for_enrichment	custom_set_candidate_category	would_manual_override_change_legacy_group	would_manual_override_change_pubchem_group	all_pubchem_categories	parsed_pubchem_category_tokens	annotation_source	annotation_status	multi_category_flag	notes
Pictilisib	PICTILISIB	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
Piperlongumine	PIPERLONGUMINE				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
PLX-4720	PLX-4720	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
Podophyllotoxin bromide	PODOPHYLLOTOXIN BROMIDE	CYTOTOXIC	CYTOTOXIC	CYTOTOXIC	FALSE	FALSE	CYTOTOXIC	CYTOTOXIC	baseline_coxIn_RData	cached	FALSE	
POMHEX	POMHEX				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
PRIMA-1MET	PRIMA-1MET				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
PRT062607	PRT062607	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
Pyridostatin	PYRIDOSTATIN				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
Rapamycin	RAPAMYCIN	Breast Feeding; Lactation; Milk, Human; Immunosuppressive Agents	IMMUNOSUPPRESSIVE AGENTS		FALSE	FALSE	Breast Feeding; Lactation; Milk, Human; Immunosuppressive Agents	Breast Feeding;Lactation;Milk, Human;Immunosuppressive Agents	baseline_coxIn_RData	cached	TRUE	
Refametinib	REFAMETINIB	Signaling	SIGNALING		FALSE	FALSE	Signaling	Signaling	baseline_coxIn_RData	cached	FALSE	
Remodelin	REMODELIN				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
Ribociclib	RIBOCICLIB	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors	SIGNALING		FALSE	FALSE	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents;Enzyme Inhibitors;Protein Kinase Inhibitors;Signal Transduction Inhibitors	baseline_coxIn_RData	cached	TRUE	
RO-3306	RO-3306	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
