cancer_type	direction	metric	drug	correlation_value	group	category_id
allcancers	low_ploidy_sensitive	Z_SCORE	PCI-34051	0.0804317276029736	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
allcancers	low_ploidy_sensitive	Z_SCORE	AZ960	0.0804644108705618	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	SN-38	0.081051082860025	Genome integrity and DNA damage	GENOME_INTEGRITY_DNA_DAMAGE
allcancers	low_ploidy_sensitive	Z_SCORE	OBATOCLAX MESYLATE	0.0811484676214345	Apoptosis regulation	APOPTOSIS
allcancers	low_ploidy_sensitive	Z_SCORE	AZD6738	0.0812569125690228	Genome integrity and DNA damage	GENOME_INTEGRITY_DNA_DAMAGE
allcancers	low_ploidy_sensitive	Z_SCORE	BMS-345541	0.0816734371566175	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	VTP-B	0.0817250674045422	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	PFI-1	0.0821499116530903	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
allcancers	low_ploidy_sensitive	Z_SCORE	I-BRD9	0.0822259123027925	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
allcancers	low_ploidy_sensitive	Z_SCORE	BDILV000379A	0.0832455227775393	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
allcancers	low_ploidy_sensitive	Z_SCORE	KRAS (G12C) INHIBITOR-12	0.0833553059485689	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	TOPOTECAN	0.0835804271081593	Genome integrity and DNA damage	GENOME_INTEGRITY_DNA_DAMAGE
allcancers	low_ploidy_sensitive	Z_SCORE	BDP-00009066	0.0836661878787416	Cell cycle and mitosis	CELL_CYCLE_MITOSIS
allcancers	low_ploidy_sensitive	Z_SCORE	MK-1775	0.0839947481752543	Cell cycle and mitosis	CELL_CYCLE_MITOSIS
allcancers	low_ploidy_sensitive	Z_SCORE	LMP744	0.0846207761680634	Genome integrity and DNA damage	GENOME_INTEGRITY_DNA_DAMAGE
allcancers	low_ploidy_sensitive	Z_SCORE	VELIPARIB	0.0862391840697709	Genome integrity and DNA damage	GENOME_INTEGRITY_DNA_DAMAGE
allcancers	low_ploidy_sensitive	Z_SCORE	PICOLINICI-ACID	0.0866250930377271	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	GSK2256098C	0.0872155890988838	Cell cycle and mitosis	CELL_CYCLE_MITOSIS
allcancers	low_ploidy_sensitive	Z_SCORE	CISPLATIN	0.0879320047889706	Genome integrity and DNA damage	GENOME_INTEGRITY_DNA_DAMAGE
allcancers	low_ploidy_sensitive	Z_SCORE	BEN	0.0882535612295281	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	DOCETAXEL	0.0891727609676596	Cell cycle and mitosis	CELL_CYCLE_MITOSIS
allcancers	low_ploidy_sensitive	Z_SCORE	ERK_2440	0.090272740189976	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	L-OXONORELEAGNINE	0.0903803539656737	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	DAPORINAD	0.0905621056707894	Metabolism	METABOLISM
allcancers	low_ploidy_sensitive	Z_SCORE	IAP_5620	0.0907512548367964	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	UNC0379	0.0910365283912315	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
allcancers	low_ploidy_sensitive	Z_SCORE	MITOXANTRONE	0.0911272525993771	Genome integrity and DNA damage	GENOME_INTEGRITY_DNA_DAMAGE
allcancers	low_ploidy_sensitive	Z_SCORE	EPZ5676	0.091551878260286	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
allcancers	low_ploidy_sensitive	Z_SCORE	CAMPTOTHECIN	0.0918245895034826	Genome integrity and DNA damage	GENOME_INTEGRITY_DNA_DAMAGE
allcancers	low_ploidy_sensitive	Z_SCORE	LENALIDOMIDE	0.0923269993834821	Protein stability and degradation	PROTEIN_DEGRADATION
allcancers	low_ploidy_sensitive	Z_SCORE	VX-11E	0.0923970795498202	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	VISMODEGIB	0.0930069064653782	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	EPZ004777	0.0937922540471933	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
allcancers	low_ploidy_sensitive	Z_SCORE	JQ1	0.0938772721230133	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
allcancers	low_ploidy_sensitive	Z_SCORE	GSK-LSD1	0.0938816446775006	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
allcancers	low_ploidy_sensitive	Z_SCORE	BICALUTAMIDE	0.0941731595282489	Hormone related	HORMONE_RELATED
allcancers	low_ploidy_sensitive	Z_SCORE	ERK_6604	0.0943551851773589	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	RIBOCICLIB	0.0943723872953719	Cell cycle and mitosis	CELL_CYCLE_MITOSIS
allcancers	low_ploidy_sensitive	Z_SCORE	IWP-2	0.0947500777076956	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	FULVESTRANT	0.0953201625251714	Hormone related	HORMONE_RELATED
allcancers	low_ploidy_sensitive	Z_SCORE	BPD-00008900	0.0955085029552379	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	PACLITAXEL	0.096994193512026	Cell cycle and mitosis	CELL_CYCLE_MITOSIS
allcancers	low_ploidy_sensitive	Z_SCORE	AZD5153	0.0970507734290666	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
