sample_id	pseudotime_bin	sample_bin_id	cell_count	bin_start	bin_end	bin_midpoint	dose	dose_mg	initial_ploidy	n_cells	mean_pseudotime	retained_for_model	exclusion_reason	library_size
2N-A4-RL	15	2N-A4-RL__bin15	26	0.7	0.75	0.725	120mg/kg	120	2N	310	0.498624597688117	TRUE	NA	1754521
2N-A4-RL	16	2N-A4-RL__bin16	17	0.75	0.8	0.775	120mg/kg	120	2N	310	0.498624597688117	TRUE	NA	1240607
2N-A4-RL	17	2N-A4-RL__bin17	23	0.8	0.85	0.825	120mg/kg	120	2N	310	0.498624597688117	TRUE	NA	1763462
2N-A4-RL	18	2N-A4-RL__bin18	20	0.85	0.9	0.875	120mg/kg	120	2N	310	0.498624597688117	TRUE	NA	1493996
2N-A4-RL	19	2N-A4-RL__bin19	4	0.9	0.95	0.925	120mg/kg	120	2N	310	0.498624597688117	FALSE	cell_count<5	235959
2N-A4-RL	20	2N-A4-RL__bin20	1	0.95	1	0.975	120mg/kg	120	2N	310	0.498624597688117	FALSE	cell_count<5	38949
4N-A5-0	1	4N-A5-0__bin01	7	0	0.05	0.025	0mg/kg	0	4N	114	0.462969425934971	TRUE	NA	862354
4N-A5-0	2	4N-A5-0__bin02	9	0.05	0.1	0.075	0mg/kg	0	4N	114	0.462969425934971	TRUE	NA	1076830
4N-A5-0	3	4N-A5-0__bin03	6	0.1	0.15	0.125	0mg/kg	0	4N	114	0.462969425934971	TRUE	NA	783118
4N-A5-0	4	4N-A5-0__bin04	7	0.15	0.2	0.175	0mg/kg	0	4N	114	0.462969425934971	TRUE	NA	670608
4N-A5-0	5	4N-A5-0__bin05	9	0.2	0.25	0.225	0mg/kg	0	4N	114	0.462969425934971	TRUE	NA	1103095
4N-A5-0	6	4N-A5-0__bin06	4	0.25	0.3	0.275	0mg/kg	0	4N	114	0.462969425934971	FALSE	cell_count<5	431101
4N-A5-0	7	4N-A5-0__bin07	4	0.3	0.35	0.325	0mg/kg	0	4N	114	0.462969425934971	FALSE	cell_count<5	562327
4N-A5-0	8	4N-A5-0__bin08	3	0.35	0.4	0.375	0mg/kg	0	4N	114	0.462969425934971	FALSE	cell_count<5	350610
4N-A5-0	9	4N-A5-0__bin09	5	0.4	0.45	0.425	0mg/kg	0	4N	114	0.462969425934971	TRUE	NA	367737
4N-A5-0	10	4N-A5-0__bin10	2	0.45	0.5	0.475	0mg/kg	0	4N	114	0.462969425934971	FALSE	cell_count<5	227136
4N-A5-0	11	4N-A5-0__bin11	5	0.5	0.55	0.525	0mg/kg	0	4N	114	0.462969425934971	TRUE	NA	656666
4N-A5-0	12	4N-A5-0__bin12	4	0.55	0.6	0.575	0mg/kg	0	4N	114	0.462969425934971	FALSE	cell_count<5	511607
4N-A5-0	13	4N-A5-0__bin13	9	0.6	0.65	0.625	0mg/kg	0	4N	114	0.462969425934971	TRUE	NA	974202
4N-A5-0	14	4N-A5-0__bin14	4	0.65	0.7	0.675	0mg/kg	0	4N	114	0.462969425934971	FALSE	cell_count<5	439576
4N-A5-0	15	4N-A5-0__bin15	10	0.7	0.75	0.725	0mg/kg	0	4N	114	0.462969425934971	TRUE	NA	1496604
4N-A5-0	16	4N-A5-0__bin16	11	0.75	0.8	0.775	0mg/kg	0	4N	114	0.462969425934971	TRUE	NA	1493421
4N-A5-0	17	4N-A5-0__bin17	11	0.8	0.85	0.825	0mg/kg	0	4N	114	0.462969425934971	TRUE	NA	1491523
4N-A5-0	18	4N-A5-0__bin18	3	0.85	0.9	0.875	0mg/kg	0	4N	114	0.462969425934971	FALSE	cell_count<5	349809
4N-A5-0	19	4N-A5-0__bin19	1	0.9	0.95	0.925	0mg/kg	0	4N	114	0.462969425934971	FALSE	cell_count<5	67874
4N-A5-0	20	4N-A5-0__bin20	0	0.95	1	0.975	0mg/kg	0	4N	114	0.462969425934971	FALSE	cell_count<5	0
4N-A5-RR	1	4N-A5-RR__bin01	9	0	0.05	0.025	0mg/kg	0	4N	137	0.515721272595608	TRUE	NA	960527
4N-A5-RR	2	4N-A5-RR__bin02	8	0.05	0.1	0.075	0mg/kg	0	4N	137	0.515721272595608	TRUE	NA	917953
4N-A5-RR	3	4N-A5-RR__bin03	6	0.1	0.15	0.125	0mg/kg	0	4N	137	0.515721272595608	TRUE	NA	861916
4N-A5-RR	4	4N-A5-RR__bin04	10	0.15	0.2	0.175	0mg/kg	0	4N	137	0.515721272595608	TRUE	NA	1237866
4N-A5-RR	5	4N-A5-RR__bin05	7	0.2	0.25	0.225	0mg/kg	0	4N	137	0.515721272595608	TRUE	NA	568412
4N-A5-RR	6	4N-A5-RR__bin06	4	0.25	0.3	0.275	0mg/kg	0	4N	137	0.515721272595608	FALSE	cell_count<5	286131
4N-A5-RR	7	4N-A5-RR__bin07	4	0.3	0.35	0.325	0mg/kg	0	4N	137	0.515721272595608	FALSE	cell_count<5	581184
4N-A5-RR	8	4N-A5-RR__bin08	2	0.35	0.4	0.375	0mg/kg	0	4N	137	0.515721272595608	FALSE	cell_count<5	133810
4N-A5-RR	9	4N-A5-RR__bin09	2	0.4	0.45	0.425	0mg/kg	0	4N	137	0.515721272595608	FALSE	cell_count<5	224589
4N-A5-RR	10	4N-A5-RR__bin10	2	0.45	0.5	0.475	0mg/kg	0	4N	137	0.515721272595608	FALSE	cell_count<5	442481
