sample_id,bin_id,sample_bin_id,cell_count,bin_start,bin_end,bin_midpoint,dose,dose_mg,initial_ploidy,n_cells,mean_pseudotime,n_endpoint_ploidy_cells,sample_mean_endpoint_ploidy,sample_median_endpoint_ploidy,sample_max_endpoint_ploidy,sample_mean_endpoint_ploidy_scaled,ETP_fixed_threshold_2_25_group,ETP_boundary_stress_threshold_2_375_group,ETP_reference_balanced_threshold_2_24_group,retained_for_model,exclusion_reason,library_size
2N-A1-RR,1,2N-A1-RR__bin01,33,0,0.05,0.025,0mg/kg,0,2N,549,0.4818645722261609,1495,1.9414587666013141,1.9434174280281653,1.976168399094179,-1.8128848513696036,ETP-lower,ETP-lower,ETP-lower,TRUE,,1038131
2N-A1-RR,2,2N-A1-RR__bin02,45,0.05,0.1,0.07500000000000001,0mg/kg,0,2N,549,0.4818645722261609,1495,1.9414587666013141,1.9434174280281653,1.976168399094179,-1.8128848513696036,ETP-lower,ETP-lower,ETP-lower,TRUE,,1548724
2N-A1-RR,3,2N-A1-RR__bin03,35,0.1,0.15000000000000002,0.125,0mg/kg,0,2N,549,0.4818645722261609,1495,1.9414587666013141,1.9434174280281653,1.976168399094179,-1.8128848513696036,ETP-lower,ETP-lower,ETP-lower,TRUE,,1141520
2N-A1-RR,4,2N-A1-RR__bin04,41,0.15000000000000002,0.2,0.17500000000000002,0mg/kg,0,2N,549,0.4818645722261609,1495,1.9414587666013141,1.9434174280281653,1.976168399094179,-1.8128848513696036,ETP-lower,ETP-lower,ETP-lower,TRUE,,1459536
2N-A1-RR,5,2N-A1-RR__bin05,18,0.2,0.25,0.225,0mg/kg,0,2N,549,0.4818645722261609,1495,1.9414587666013141,1.9434174280281653,1.976168399094179,-1.8128848513696036,ETP-lower,ETP-lower,ETP-lower,TRUE,,609792
2N-A1-RR,6,2N-A1-RR__bin06,14,0.25,0.30000000000000004,0.275,0mg/kg,0,2N,549,0.4818645722261609,1495,1.9414587666013141,1.9434174280281653,1.976168399094179,-1.8128848513696036,ETP-lower,ETP-lower,ETP-lower,TRUE,,349289
2N-A1-RR,7,2N-A1-RR__bin07,14,0.30000000000000004,0.35000000000000003,0.32500000000000007,0mg/kg,0,2N,549,0.4818645722261609,1495,1.9414587666013141,1.9434174280281653,1.976168399094179,-1.8128848513696036,ETP-lower,ETP-lower,ETP-lower,TRUE,,408628
2N-A1-RR,8,2N-A1-RR__bin08,14,0.35000000000000003,0.4,0.375,0mg/kg,0,2N,549,0.4818645722261609,1495,1.9414587666013141,1.9434174280281653,1.976168399094179,-1.8128848513696036,ETP-lower,ETP-lower,ETP-lower,TRUE,,356501
2N-A1-RR,9,2N-A1-RR__bin09,19,0.4,0.45,0.42500000000000004,0mg/kg,0,2N,549,0.4818645722261609,1495,1.9414587666013141,1.9434174280281653,1.976168399094179,-1.8128848513696036,ETP-lower,ETP-lower,ETP-lower,TRUE,,575832
2N-A1-RR,10,2N-A1-RR__bin10,27,0.45,0.5,0.475,0mg/kg,0,2N,549,0.4818645722261609,1495,1.9414587666013141,1.9434174280281653,1.976168399094179,-1.8128848513696036,ETP-lower,ETP-lower,ETP-lower,TRUE,,803824
2N-A1-RR,11,2N-A1-RR__bin11,21,0.5,0.55,0.525,0mg/kg,0,2N,549,0.4818645722261609,1495,1.9414587666013141,1.9434174280281653,1.976168399094179,-1.8128848513696036,ETP-lower,ETP-lower,ETP-lower,TRUE,,782778
2N-A1-RR,12,2N-A1-RR__bin12,34,0.55,0.6000000000000001,0.5750000000000001,0mg/kg,0,2N,549,0.4818645722261609,1495,1.9414587666013141,1.9434174280281653,1.976168399094179,-1.8128848513696036,ETP-lower,ETP-lower,ETP-lower,TRUE,,1164897
2N-A1-RR,13,2N-A1-RR__bin13,46,0.6000000000000001,0.65,0.625,0mg/kg,0,2N,549,0.4818645722261609,1495,1.9414587666013141,1.9434174280281653,1.976168399094179,-1.8128848513696036,ETP-lower,ETP-lower,ETP-lower,TRUE,,1735311
2N-A1-RR,14,2N-A1-RR__bin14,30,0.65,0.7000000000000001,0.675,0mg/kg,0,2N,549,0.4818645722261609,1495,1.9414587666013141,1.9434174280281653,1.976168399094179,-1.8128848513696036,ETP-lower,ETP-lower,ETP-lower,TRUE,,1293914
2N-A1-RR,15,2N-A1-RR__bin15,29,0.7000000000000001,0.75,0.7250000000000001,0mg/kg,0,2N,549,0.4818645722261609,1495,1.9414587666013141,1.9434174280281653,1.976168399094179,-1.8128848513696036,ETP-lower,ETP-lower,ETP-lower,TRUE,,1038446
2N-A1-RR,16,2N-A1-RR__bin16,25,0.75,0.8,0.775,0mg/kg,0,2N,549,0.4818645722261609,1495,1.9414587666013141,1.9434174280281653,1.976168399094179,-1.8128848513696036,ETP-lower,ETP-lower,ETP-lower,TRUE,,921630
2N-A1-RR,17,2N-A1-RR__bin17,31,0.8,0.8500000000000001,0.8250000000000001,0mg/kg,0,2N,549,0.4818645722261609,1495,1.9414587666013141,1.9434174280281653,1.976168399094179,-1.8128848513696036,ETP-lower,ETP-lower,ETP-lower,TRUE,,1056787
2N-A1-RR,18,2N-A1-RR__bin18,60,0.8500000000000001,0.9,0.875,0mg/kg,0,2N,549,0.4818645722261609,1495,1.9414587666013141,1.9434174280281653,1.976168399094179,-1.8128848513696036,ETP-lower,ETP-lower,ETP-lower,TRUE,,2387191
2N-A1-RR,19,2N-A1-RR__bin19,12,0.9,0.9500000000000001,0.925,0mg/kg,0,2N,549,0.4818645722261609,1495,1.9414587666013141,1.9434174280281653,1.976168399094179,-1.8128848513696036,ETP-lower,ETP-lower,ETP-lower,TRUE,,446526
2N-A1-RR,20,2N-A1-RR__bin20,1,0.9500000000000001,1,0.9750000000000001,0mg/kg,0,2N,549,0.4818645722261609,1495,1.9414587666013141,1.9434174280281653,1.976168399094179,-1.8128848513696036,ETP-lower,ETP-lower,ETP-lower,FALSE,cell_count<5,18964
2N-A2-0,1,2N-A2-0__bin01,8,0,0.05,0.025,30mg/kg,30,2N,95,0.4671333134174347,317,2.3157000073747946,2.3221994765015688,2.3443660182499992,0.5628756482001838,ETP-higher,ETP-lower,ETP-higher,TRUE,,869313
2N-A2-0,2,2N-A2-0__bin02,5,0.05,0.1,0.07500000000000001,30mg/kg,30,2N,95,0.4671333134174347,317,2.3157000073747946,2.3221994765015688,2.3443660182499992,0.5628756482001838,ETP-higher,ETP-lower,ETP-higher,TRUE,,716808
2N-A2-0,3,2N-A2-0__bin03,4,0.1,0.15000000000000002,0.125,30mg/kg,30,2N,95,0.4671333134174347,317,2.3157000073747946,2.3221994765015688,2.3443660182499992,0.5628756482001838,ETP-higher,ETP-lower,ETP-higher,FALSE,cell_count<5,544229
2N-A2-0,4,2N-A2-0__bin04,3,0.15000000000000002,0.2,0.17500000000000002,30mg/kg,30,2N,95,0.4671333134174347,317,2.3157000073747946,2.3221994765015688,2.3443660182499992,0.5628756482001838,ETP-higher,ETP-lower,ETP-higher,FALSE,cell_count<5,192955
2N-A2-0,5,2N-A2-0__bin05,2,0.2,0.25,0.225,30mg/kg,30,2N,95,0.4671333134174347,317,2.3157000073747946,2.3221994765015688,2.3443660182499992,0.5628756482001838,ETP-higher,ETP-lower,ETP-higher,FALSE,cell_count<5,203611
2N-A2-0,6,2N-A2-0__bin06,6,0.25,0.30000000000000004,0.275,30mg/kg,30,2N,95,0.4671333134174347,317,2.3157000073747946,2.3221994765015688,2.3443660182499992,0.5628756482001838,ETP-higher,ETP-lower,ETP-higher,TRUE,,437863
2N-A2-0,7,2N-A2-0__bin07,2,0.30000000000000004,0.35000000000000003,0.32500000000000007,30mg/kg,30,2N,95,0.4671333134174347,317,2.3157000073747946,2.3221994765015688,2.3443660182499992,0.5628756482001838,ETP-higher,ETP-lower,ETP-higher,FALSE,cell_count<5,37109
2N-A2-0,8,2N-A2-0__bin08,6,0.35000000000000003,0.4,0.375,30mg/kg,30,2N,95,0.4671333134174347,317,2.3157000073747946,2.3221994765015688,2.3443660182499992,0.5628756482001838,ETP-higher,ETP-lower,ETP-higher,TRUE,,279587
2N-A2-0,9,2N-A2-0__bin09,4,0.4,0.45,0.42500000000000004,30mg/kg,30,2N,95,0.4671333134174347,317,2.3157000073747946,2.3221994765015688,2.3443660182499992,0.5628756482001838,ETP-higher,ETP-lower,ETP-higher,FALSE,cell_count<5,346393
2N-A2-0,10,2N-A2-0__bin10,7,0.45,0.5,0.475,30mg/kg,30,2N,95,0.4671333134174347,317,2.3157000073747946,2.3221994765015688,2.3443660182499992,0.5628756482001838,ETP-higher,ETP-lower,ETP-higher,TRUE,,654994
2N-A2-0,11,2N-A2-0__bin11,9,0.5,0.55,0.525,30mg/kg,30,2N,95,0.4671333134174347,317,2.3157000073747946,2.3221994765015688,2.3443660182499992,0.5628756482001838,ETP-higher,ETP-lower,ETP-higher,TRUE,,666572
2N-A2-0,12,2N-A2-0__bin12,8,0.55,0.6000000000000001,0.5750000000000001,30mg/kg,30,2N,95,0.4671333134174347,317,2.3157000073747946,2.3221994765015688,2.3443660182499992,0.5628756482001838,ETP-higher,ETP-lower,ETP-higher,TRUE,,293140
2N-A2-0,13,2N-A2-0__bin13,6,0.6000000000000001,0.65,0.625,30mg/kg,30,2N,95,0.4671333134174347,317,2.3157000073747946,2.3221994765015688,2.3443660182499992,0.5628756482001838,ETP-higher,ETP-lower,ETP-higher,TRUE,,474661
2N-A2-0,14,2N-A2-0__bin14,2,0.65,0.7000000000000001,0.675,30mg/kg,30,2N,95,0.4671333134174347,317,2.3157000073747946,2.3221994765015688,2.3443660182499992,0.5628756482001838,ETP-higher,ETP-lower,ETP-higher,FALSE,cell_count<5,201219
2N-A2-0,15,2N-A2-0__bin15,7,0.7000000000000001,0.75,0.7250000000000001,30mg/kg,30,2N,95,0.4671333134174347,317,2.3157000073747946,2.3221994765015688,2.3443660182499992,0.5628756482001838,ETP-higher,ETP-lower,ETP-higher,TRUE,,696909
